reference_number,reference_number_previous,reference_number_clean,reference_doi,resolved_reference_doi,doi_resolution_note,reference_url,resolved_reference_url,reference_year,reference_title_dataset,reference_title_completed,reference_authors_completed,completed_source,title_match_status,n_records,analysis_splits,source_group_ids,source_types,solid_families,liquids,example_record_ids,included_in_completed_references,metadata_status,reference_authors_dataset_raw,reference_authors_dataset,reference_authors_verified,dataset_author_field_status,author_encoding_note,reference_title_verified,title_resolution_category,title_resolution_note,recommended_source_action,source_disjoint_risk_item,source_disjoint_risk_review
23,24,23,10.1007/s11671-009-9380-0,10.1007/s11671-009-9380-0,dataset DOI used directly,https://doi.org/10.1007/s11671-009-9380-0,https://doi.org/10.1007/s11671-009-9380-0,2009,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Torchinsky, I.; Rosenman, G.",Nanoscale Research Letters,exact,30,balanced_holdout;internal_test;internal_train;internal_val,SRC001,literature,carbon_material;oxide,1-bromonaphthalene;diiodomethane;ethylene glycol;formamide;water,CA0303;CA0304;CA0305;CA0306;CA0307,yes,found,I. Torchinsky; G. Rosenman,I. Torchinsky; G. Rosenman,"Torchinsky, I.; Rosenman, G.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
24,25,24,10.1016/j.apsusc.2012.02.107,10.1016/j.apsusc.2012.02.107,dataset DOI used directly,https://doi.org/10.1016/j.apsusc.2012.02.107,https://doi.org/10.1016/j.apsusc.2012.02.107,2012,Superhydrophobic terpolymer nanofibers containing perfluoroethyl alkyl methacrylate by electrospinning,Superhydrophobic terpolymer nanofibers containing perfluoroethyl alkyl methacrylate by electrospinning,"Cengiz, U.; Z. Avci, M.; Erbil, H. Y.; Sarac, A. S.",Applied Surface Science,exact,4,hard_external,SRC002,literature,polymer,ethylene glycol;glycerol;hexadecane;water,CA0463;CA0464;CA0465;CA0466,yes,found,A. S. Sarac et al.,A. S. Sarac et al.,"Cengiz, U.; Z. Avci, M.; Erbil, H. Y.; Sarac, A. S.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Superhydrophobic terpolymer nanofibers containing perfluoroethyl alkyl methacrylate by electrospinning,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
25,26,25,10.1016/j.apsusc.2018.09.052,10.1016/j.apsusc.2018.09.052,dataset DOI used directly,https://doi.org/10.1016/j.apsusc.2018.09.052,https://doi.org/10.1016/j.apsusc.2018.09.052,2019,Fabrication of superamphiphobic Cu surfaces using hierarchical surface morphology and fluorocarbon attachment facilitated by plasma activation,Fabrication of superamphiphobic Cu surfaces using hierarchical surface morphology and fluorocarbon attachment facilitated by plasma activation,"Cai, J.; Wang, T.; Hao, W.; Ling, H.; Hang, T.; Chung, Y. W.; Li, M.",Applied Surface Science,exact,2,internal_train,SRC003,literature,metal,diiodomethane;water,CA0467;CA0468,yes,found,Cai et al.,Cai et al.,"Cai, J.; Wang, T.; Hao, W.; Ling, H.; Hang, T.; Chung, Y. W.; Li, M.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Fabrication of superamphiphobic Cu surfaces using hierarchical surface morphology and fluorocarbon attachment facilitated by plasma activation,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
26,27,26,10.1038/NMAT3545,10.1038/NMAT3545,dataset DOI used directly,https://doi.org/10.1038/NMAT3545,https://doi.org/10.1038/NMAT3545,2013,Hydrophobicity of rare-earth oxide ceramics,Hydrophobicity of rare-earth oxide ceramics,"Azimi, G.; Dhiman, R.; Kwon, H. M.; Paxson, A. T.; Varanasi, K. K.",Nature Materials,exact,45,hard_external,SRC004,literature,oxide,diiodomethane;ethylene glycol;water,CA0384;CA0385;CA0386;CA0387;CA0388,yes,found,G. Azimi et al.,G. Azimi et al.,"Azimi, G.; Dhiman, R.; Kwon, H. M.; Paxson, A. T.; Varanasi, K. K.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Hydrophobicity of rare-earth oxide ceramics,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
27,28,27,10.1038/s41598-017-06621-1,10.1038/s41598-017-06621-1,dataset DOI used directly,https://doi.org/10.1038/s41598-017-06621-1,https://doi.org/10.1038/s41598-017-06621-1,2017,"Mechanically durable, liquid-impregnated honeycomb surfaces",Mechanically durable liquid-impregnated honeycomb surfaces,"Brown, P. S.; Bhushan, B.",Scientific Reports,exact,8,balanced_holdout;internal_test;internal_train;internal_val,SRC005,literature,polymer,hexadecane;water,CA0277;CA0278;CA0279;CA0280;CA0281,yes,found,P. S. Brown; B. Bhushan,P. S. Brown; B. Bhushan,"Brown, P. S.; Bhushan, B.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Mechanically durable liquid-impregnated honeycomb surfaces,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
28,29,28,10.1038/s41598-018-26585-0,10.1038/s41598-018-26585-0,dataset DOI used directly,https://doi.org/10.1038/s41598-018-26585-0,https://doi.org/10.1038/s41598-018-26585-0,2018,Flexible Organic Thin Film Transistors Incorporating a Biodegradable CO2-based Polymer as the Dielectric and Substrate,Flexible Organic Thin Film Transistors Incorporating a Biodegradable CO2-Based Polymer as the Substrate and Dielectric Material,"Rullyani, C.; Sung, C. F.; Lin, H. C.; Chu, C. W.",Scientific Reports,dataset_title_differs_from_completed_metadata,2,internal_train,SRC006,literature,polymer,diiodomethane;water,CA0285;CA0286,yes,found,Rullyani et al.,Rullyani et al.,"Rullyani, C.; Sung, C. F.; Lin, H. C.; Chu, C. W.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Flexible Organic Thin Film Transistors Incorporating a Biodegradable CO2-Based Polymer as the Substrate and Dielectric Material,official_title_reordered_or_paraphrased,Dataset title is a reordered/paraphrased version of the official DOI title. DOI/source is valid; use verified DOI metadata for the bibliography.,Keep DOI; use Crossref/DOI title and authors in references; data values unchanged.,no,not_source_disjoint_external_risk_item
29,30,29,10.1038/s41598-019-42495-1,10.1038/s41598-019-42495-1,dataset DOI used directly,https://doi.org/10.1038/s41598-019-42495-1,https://doi.org/10.1038/s41598-019-42495-1,2019,Electrical percolation threshold of carbon black in a polymer matrix and its connection to polymer-filler gel formation,Electrical percolation threshold of carbon black in a polymer matrix and its application to antistatic fibre,"Choi, H. J.; Kim, M. S.; Ahn, D.; Yeo, S. Y.; Lee, S.",Scientific Reports,dataset_title_differs_from_completed_metadata,6,internal_test;internal_train;internal_val,SRC007,literature,polymer,diiodomethane;water,CA0101;CA0102;CA0103;CA0104;CA0105,yes,found,Choi et al.,Choi et al.,"Choi, H. J.; Kim, M. S.; Ahn, D.; Yeo, S. Y.; Lee, S.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Electrical percolation threshold of carbon black in a polymer matrix and its application to antistatic fibre,dataset_title_field_error,"Dataset title does not match the resolved DOI title. This is a source-map metadata field error, not a numerical-data change.",Keep DOI only if the underlying contact-angle rows correspond to this article; use verified DOI title/authors in references and flag row for dataset source-field cleanup.,no,not_source_disjoint_external_risk_item
30,31,30,10.1038/s41598-023-36956-x,10.1038/s41598-023-36956-x,dataset DOI used directly,https://doi.org/10.1038/s41598-023-36956-x,https://doi.org/10.1038/s41598-023-36956-x,2023,Preparation and characterization of photopolymerized hydrogels for 3D bioprinting applications,Preparation of multifunctional hydrogels with accessible isothiouronium groups via radical cross-linking copolymerization,"Grübel, J.; L. Albernaz, V.; Tsianaka, A.; Jauch, C. O.; Quirin, S.; Kerger, C.; Kohl, C. G.; Burger-Kentischer, A.; et al.",Scientific Reports,dataset_title_differs_from_completed_metadata,6,balanced_holdout;excluded_review,SRC008,literature,biomaterial,water,CA0107;CA0108;CA0109;CA0110;CA0111,yes,found,Mesquita et al.,Mesquita et al.,"Grübel, J.; L. Albernaz, V.; Tsianaka, A.; Jauch, C. O.; Quirin, S.; Kerger, C.; Kohl, C. G.; Burger-Kentischer, A.; et al.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,Verified author metadata contains UTF-8 diacritics; PowerShell console may display mojibake although file encoding is UTF-8.,Preparation of multifunctional hydrogels with accessible isothiouronium groups via radical cross-linking copolymerization,dataset_title_field_error,Dataset title points to a different hydrogel/bioprinting description than the official DOI metadata.,Use verified DOI title/authors in the clean reference list and flag original dataset title for correction.,no,not_source_disjoint_external_risk_item
31,32,31,10.1038/s41598-024-61327-5,10.1038/s41598-024-61327-5,dataset DOI used directly,https://doi.org/10.1038/s41598-024-61327-5,https://doi.org/10.1038/s41598-024-61327-5,2024,An investigation of methods to enhance adhesion of conductive layer and dielectric substrate for additive manufacturing of electronics,An investigation of methods to enhance adhesion of conductive layer and dielectric substrate for additive manufacturing of electronics,"Xu, Z.; Hui, J.; Lv, J.; Wei, D.; Yan, Z.; Zhang, H.; Wang, J.",Scientific Reports,exact,8,internal_train;internal_val,SRC009,literature,polymer,diiodomethane;water,CA0093;CA0094;CA0095;CA0096;CA0097,yes,found,Zhang et al.,Zhang et al.,"Xu, Z.; Hui, J.; Lv, J.; Wei, D.; Yan, Z.; Zhang, H.; Wang, J.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,An investigation of methods to enhance adhesion of conductive layer and dielectric substrate for additive manufacturing of electronics,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
32,33,32,10.1038/s41598-025-19841-7,10.1038/s41598-025-19841-7,dataset DOI used directly,https://doi.org/10.1038/s41598-025-19841-7,https://doi.org/10.1038/s41598-025-19841-7,2025,Comparative study of surface modification of fluorinated and non-fluorinated polymers using SDBD air plasma,Comparative study of surface modification of fluorinated and non-fluorinated polymers using SDBD air plasma,"Jamali, S.; Kargarian, A.",Scientific Reports,exact,16,internal_test;internal_train;internal_val,SRC010,literature,polymer,diiodomethane;water,CA0077;CA0078;CA0079;CA0080;CA0081,yes,found,F. Jamali; A. Kargarian,F. Jamali; A. Kargarian,"Jamali, S.; Kargarian, A.",raw_dataset_author_abbreviated_or_legacy_use_verified_metadata,No encoding issue detected.,Comparative study of surface modification of fluorinated and non-fluorinated polymers using SDBD air plasma,exact,Dataset title matches verified DOI metadata.,No title action needed.,no,not_source_disjoint_external_risk_item
