record_id,split_group,analysis_split,model_use,include_in_training,allow_train,allow_validation,allow_tuning,allow_hyperparameter_search,allow_internal_test_eval,allow_balanced_holdout_eval,allow_external_eval,freeze_status,leakage_policy,source_group_id,duplicate_policy,solid_surface_energy_source_type,quality_grade,solid_family,solid_name,liquid_name,contact_angle_deg,reference_doi,source_type,record_sha256
CA0001,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PMMA,water,70,,database,29d6426d5a72a012f5ab217f340a6c078cf565362c9317485ec7fc7d1b1fd435
CA0002,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PC,water,75,,database,5d71b8879c2f21d4b32093df2ce12284c79d41884fa22dda594070096ea6b9e5
CA0003,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PET,water,76,,database,81aaa1b397d1118dd6197a4c2d77cf269ddb0566595b8f324713c07242ec3bf6
CA0004,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PVC,water,78,,database,63b90a45b0ead4505dd218beb91bc56e59aa79d8d47ce065d6a8fda67d8edcef
CA0005,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,Nylon6,water,65,,database,8c8999548ef7bef2dc6e13d3119ba1fd0d77e228e1941119849acda8eb395843
CA0006,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,Nylon66,water,64,,database,09fd64811e97091d5c6be6dca66e7ff3c3a38861b89731c34d48527391ee33fe
CA0007,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,Epoxy,water,72,,database,daeee78a359bac0bb6808593eca7b209fdcec5cb4e4c60e4affe073fddec87ad
CA0008,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PBT,water,74,,database,d3d8e86ccfc0835d23e4793d73a17fa624317ca9d3523785fa11e8b0f9bfb31c
CA0009,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,ABS,water,80,,database,cadd55c97255167d4aa744fc4dfe12182263fc85f24e9d971519570997080e46
CA0010,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PSU,water,75,,database,987653179af4197292dde4b00f0b20e5b2eeeb05059678d1f4946451fcb1840e
CA0011,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PPS,water,82,,database,f0500554608f3961350ade5e708aac726a8ecf9a50b6bd1627f68e2f19b71e9b
CA0012,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PLA,water,73,,database,bbd7723dd5990d28f552e5bef3b414778829bac3e8112a19a854874bfd900db9
CA0013,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,EVA,water,88,,database,362c4da6ecdb64263ce254ac7a2180e96a815f147f522f580cb972555cf2c200
CA0014,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PVDF,water,92,,database,46c86fff66abb9618c79b42f8a8858fadeeb911419a44548e5d3bd97aa64891e
CA0015,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PVA,water,62,,database,c1cb10d34e22ded7e49280d45c5189d5d044d33e5d41cbb43169ec698c6e92bd
CA0016,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PMMA,ethylene glycol,58,,database,d833f7d5bbc4159d415752a9fd0b7f9f7c0a5a598857fe4e873b4110bbe88016
CA0017,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PC,ethylene glycol,55,,database,a17674b8c6bca3d26175ed12e728657e4c4a38ec5cc32544a942db5f240c3940
CA0018,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PET,ethylene glycol,62,,database,6a3a5760f23f72540b7049118d58ba00ea7dc4594b4fc3ce1d08cfdd6358a88f
CA0019,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PVC,ethylene glycol,68,,database,9c8fe946c7811883cec3306d18cef725ec3389af158b20999a92f1ef0d87d1b6
CA0020,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,Nylon6,ethylene glycol,52,,database,049559b62fd610dc39d22417834d6c5f706aefcc22dbfc7b63d38758fdeec022
CA0021,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,Nylon66,ethylene glycol,50,,database,fdb9ebc163e58b4a6b3b1e397a198e028c2cd8477d345d68946c233976d49345
CA0022,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,Epoxy,ethylene glycol,56,,database,0c82992211e6a514d24d807062d5603ca26a19d1d5d0ef718aa9f348127d2385
CA0023,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PBT,ethylene glycol,60,,database,644fa9ff31a4b2d9130e1ed2021480ae33b09d69d81f0b4908c414f88a6272b2
CA0024,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,ABS,ethylene glycol,65,,database,54833f8e8ba22428d4fc0694f9bcecf3a611bac9631b76c4f88005fd940d0413
CA0025,unassigned,excluded_review,review_or_unassigned_not_for_model_selection,review,no,no,no,no,no,no,no,frozen_v3.4,excluded_from_model_selection_until_reviewed,SRC023,unique_or_condition_distinct_keep,assumed_or_estimated,C_low,polymer,PSU,ethylene glycol,60,,database,6ac027afcb5f984e4b8208b23cd5b9945aa0d8ce367d9864e2029ef75f8d436d
