table_section,claim_role,analysis_split,scenario,model_name,n_samples,MAE,RMSE,R2,MedAE,P90AE,Within_5deg,Within_10deg,Within_15deg,source_file,notes
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,PCRNN,33,7.5593,11.8887,0.844265,4.0255,19.7576,0.575758,0.787879,0.848485,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Owens-Wendt,33,10.3232,15.1741,0.746301,5.3227,28.938,0.484848,0.666667,0.727273,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,XGBoost,33,7.3697,9.6175,0.898086,6.4612,15.0587,0.454545,0.69697,0.878788,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Random Forest,33,9.311,12.4663,0.828766,6.5602,18.0799,0.363636,0.69697,0.787879,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Ordinary MLP,33,7.2436,9.683,0.896693,5.9197,16.4904,0.454545,0.727273,0.818182,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,vOCG,33,10.1579,14.8357,0.757488,4.8622,24.6625,0.515152,0.575758,0.727273,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Harmonic Mean,33,13.9963,17.1573,0.675652,13.1081,28.938,0.212121,0.424242,0.69697,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Weighted Geometric,33,10.7178,15.5176,0.734685,8.4731,28.938,0.484848,0.606061,0.727273,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,PCRNN,50,10.5176,16.0819,0.778345,7.9533,20.5175,0.4,0.56,0.72,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Owens-Wendt,50,13.7791,22.3225,0.57294,8.3286,31.82,0.38,0.56,0.64,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
