record_id,analysis_split,y_true,y_pred_original_all_liquid,y_pred_loo_sfe,delta_y_pred_loo_minus_original,prediction_changed,owens_wendt_original_all_liquid,owens_wendt_loo_sfe,delta_owens_wendt,residual_original_all_liquid,residual_loo_sfe,delta_residual,gate_original_all_liquid,gate_loo_sfe,delta_gate,abs_error_original_all_liquid,abs_error_loo_sfe,pcrnn_forward_recomputed,source_group_id,duplicate_policy
CA0469,source_disjoint_external,165.0,151.196945,156.91075134277344,5.713806342773438,yes,148.82553,156.9107488220058,8.0852188220058,2.371415,2.5207676515037747e-06,-2.3714124792323483,0.064873,0.0,-0.064873,13.803055,8.089248657226562,yes,SDX004,unique_or_condition_distinct_keep
CA0470,source_disjoint_external,150.0,143.604965,144.35069274902344,0.7457277490234446,yes,143.604966,144.3507039660005,0.7457379660005188,-1e-06,-1.1216977071626388e-05,-1.0216977071626388e-05,0.0,0.0,0.0,6.395035,5.6493072509765625,yes,SDX004,unique_or_condition_distinct_keep
CA0471,source_disjoint_external,146.0,141.858521,136.2104034423828,-5.648117557617184,yes,141.858528,136.21040438105854,-5.648123618941469,-8e-06,-9.386757255924749e-07,7.061324274407525e-06,0.0,0.0,0.0,4.141479,9.789596557617188,yes,SDX004,unique_or_condition_distinct_keep
CA0472,source_disjoint_external,162.0,133.260941,117.1363754272461,-16.12456557275391,yes,131.024792,117.13638340069554,-13.888408599304455,2.236149,-7.973449442033598e-06,-2.236156973449442,0.094033,0.0,-0.094033,28.739059,44.863624572753906,yes,SDX004,unique_or_condition_distinct_keep
CA0473,source_disjoint_external,150.0,124.575966,123.03367614746094,-1.5422898525390565,yes,124.575967,123.03368128401901,-1.542285715980995,-1e-06,-5.136558073104425e-06,-4.136558073104425e-06,0.0,0.0,0.0,25.424034,26.966323852539062,yes,SDX004,unique_or_condition_distinct_keep
CA0474,source_disjoint_external,128.0,123.744019,139.201904296875,15.457885296875006,yes,123.744019,139.20190485256165,15.45788585256166,-1e-06,-5.556866540246119e-07,4.4431334597538803e-07,0.0,0.0,0.0,4.255981,11.201904296875,yes,SDX004,unique_or_condition_distinct_keep
CA0475,source_disjoint_external,150.0,103.738281,87.54708862304688,-16.191192376953126,yes,103.599886,87.54709529658258,-16.052790703417415,0.138395,-6.6735357080460744e-06,-0.13840167353570804,0.00775,0.0,-0.00775,46.261719,62.452911376953125,yes,SDX004,unique_or_condition_distinct_keep
CA0476,source_disjoint_external,127.0,91.014175,89.18309020996094,-1.831084790039057,yes,91.014183,89.18309468371724,-1.8310883162827594,-8e-06,-4.473756305856114e-06,3.526243694143886e-06,0.0,0.0,0.0,35.985825,37.81690979003906,yes,SDX004,unique_or_condition_distinct_keep
CA0477,source_disjoint_external,97.0,88.349922,104.48402404785156,16.134102047851556,yes,88.349922,104.48402280923725,16.13410080923724,-0.0,1.2386143168896524e-06,1.2386143168896524e-06,0.0,0.0,0.0,8.650078,7.4840240478515625,yes,SDX004,unique_or_condition_distinct_keep
CA0478,source_disjoint_external,126.0,118.839233,71.66493225097656,-47.17430074902343,yes,118.7877,71.6649353819209,-47.1227646180791,0.051533,-3.1309443357940836e-06,-0.051536130944335796,0.002776,0.0,-0.002776,7.160767,54.33506774902344,yes,SDX004,unique_or_condition_distinct_keep
CA0479,source_disjoint_external,126.0,102.554047,97.28865051269531,-5.265396487304685,yes,102.554053,97.28865540432555,-5.265397595674443,-6e-06,-4.891630240422273e-06,1.1083697595777268e-06,0.0,0.0,0.0,23.445953,28.711349487304688,yes,SDX004,unique_or_condition_distinct_keep
CA0480,source_disjoint_external,89.0,93.900948,132.89353942871094,38.99259142871094,yes,93.900958,132.8935408430463,38.99258284304631,-1e-05,-1.4143353723738983e-06,8.585664627626103e-06,0.0,0.0,0.0,4.900948,43.89353942871094,yes,SDX004,unique_or_condition_distinct_keep
