scenario,model_name,n_samples,MAE,RMSE,R2,MedAE,P90AE
original_all_liquid_source_disjoint_external,PCRNN,148,6.1667939729729735,10.668995230322112,0.9376804945073862,2.5507550000000023,18.675366800000017
original_all_liquid_source_disjoint_external,Owens-Wendt,148,6.302289864864864,11.12305306254671,0.932263153418855,2.1509500000000017,21.50132000000001
original_all_liquid_source_disjoint_external,XGBoost,148,8.339638513513515,11.722661641917265,0.924763355804985,6.049299999999997,17.663460000000004
original_all_liquid_source_disjoint_external,Random Forest,148,14.74541081081081,20.646908109667514,0.7666074406475593,7.010150000000003,37.81313
original_all_liquid_source_disjoint_external,Ordinary MLP,148,12.164333783783782,15.497503690006232,0.8685076601729719,9.038600000000002,26.283469999999998
original_all_liquid_loo_feasible_114,PCRNN,114,7.909764649122807,12.13426874790332,0.9287660578080983,4.172344500000001,24.391417100000005
original_all_liquid_loo_feasible_114,Owens-Wendt,114,8.171621929824562,12.67357572218877,0.9222933675076048,4.110650000000007,25.291070000000005
original_all_liquid_loo_feasible_114,XGBoost,114,8.362465789473685,11.875419681304122,0.9317727771286416,6.395700000000005,16.50314
original_all_liquid_loo_feasible_114,Random Forest,114,17.836838596491226,23.17773744689866,0.7401026576043663,14.1173,39.4881
original_all_liquid_loo_feasible_114,Ordinary MLP,114,12.839299122807018,16.32102792326029,0.8711291252822497,9.1918,26.80027
loo_sfe_corrected_loo_feasible_114,PCRNN,114,19.038104559245863,24.847273514629165,0.7013123664722443,13.307813262939455,43.15049423217774
loo_sfe_corrected_loo_feasible_114,Owens-Wendt,114,19.04528607150852,24.825289832811606,0.7018406617912787,13.844847816605672,43.150496300016215
loo_sfe_corrected_loo_feasible_114,XGBoost,114,17.05727950212138,22.506379510946367,0.7549407859195334,11.994275134547124,41.045583438157465
loo_sfe_corrected_loo_feasible_114,Random Forest,114,24.403827500416657,29.686246475082758,0.5736460032029027,23.848969071258274,44.46205042960222
loo_sfe_corrected_loo_feasible_114,Ordinary MLP,114,20.185782362856465,23.79073823891972,0.7261734227085799,18.00659351258287,42.063110462575004
high_risk_34_original_only,PCRNN,34,0.32271582352941197,1.3399897712844462,0.9979955896303592,0.010254000000003316,0.20891609999999464
high_risk_34_original_only,Owens-Wendt,34,0.03452941176470539,0.09015267442445794,0.9999909272090539,0.010249999999999204,0.07811999999999698
high_risk_34_original_only,XGBoost,34,8.2631,11.19527243511611,0.8600886305512618,4.936149999999998,19.456859999999992
high_risk_34_original_only,Random Forest,34,4.380035294117649,7.376385302476291,0.9392605490139532,3.0272000000000006,6.790059999999991
high_risk_34_original_only,Ordinary MLP,34,9.901214705882351,12.341571630099724,0.8299703695912896,8.740550000000006,17.656869999999998
