table_section,claim_role,analysis_split,scenario,model_name,n_samples,metric_name,metric_value,source_file
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,PCRNN,33,MAE,7.5593,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,PCRNN,33,RMSE,11.8887,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,PCRNN,33,R2,0.844265,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,PCRNN,33,MedAE,4.0255,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,PCRNN,33,P90AE,19.7576,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,PCRNN,33,Within_5deg,0.575758,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,PCRNN,33,Within_10deg,0.787879,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,PCRNN,33,Within_15deg,0.848485,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Owens-Wendt,33,MAE,10.3232,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Owens-Wendt,33,RMSE,15.1741,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Owens-Wendt,33,R2,0.746301,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Owens-Wendt,33,MedAE,5.3227,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Owens-Wendt,33,P90AE,28.938,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Owens-Wendt,33,Within_5deg,0.484848,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Owens-Wendt,33,Within_10deg,0.666667,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Owens-Wendt,33,Within_15deg,0.727273,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,XGBoost,33,MAE,7.3697,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,XGBoost,33,RMSE,9.6175,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,XGBoost,33,R2,0.898086,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,XGBoost,33,MedAE,6.4612,main_result_table_v3.4_20260518.csv
