record_id,reference_doi,solid_name,liquid_name,contact_angle_deg,solid_surface_energy_source_type,sfe_fitting_liquids,target_liquid_used_in_sfe_fit,loo_sfe_feasible,loo_available_liquids,risk_level,recommended_action,notes,loo_sfe_total_mJ_m2,loo_sfe_dispersion_mJ_m2,loo_sfe_polar_mJ_m2,all_liquid_fit_total_mJ_m2,all_liquid_fit_dispersion_mJ_m2,all_liquid_fit_polar_mJ_m2
CA0469,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 0",water,165,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,0.39,0.39,0,0.59,0.52,0.07
CA0470,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 0",formamide,150,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,0.54,0.47,0.07,0.59,0.52,0.07
CA0471,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 0",diiodomethane,146,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,1.03,0.85,0.18,0.59,0.52,0.07
CA0472,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 1",water,162,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,5.72,3.08,2.64,2.74,2.09,0.65
CA0473,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 1",formamide,150,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,3.07,2.47,0.6,2.74,2.09,0.65
CA0474,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 1",diiodomethane,128,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,0.76,0.68,0.08,2.74,2.09,0.65
CA0475,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 2",water,150,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,22.51,14.57,7.95,14.3,11.46,2.84
CA0476,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 2",formamide,127,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,15.39,12.68,2.71,14.3,11.46,2.84
CA0477,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 2",diiodomethane,97,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,7.31,6.37,0.94,14.3,11.46,2.84
CA0478,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 5",water,126,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,34.48,20.48,14,11.08,10.84,0.24
CA0479,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 5",formamide,126,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,14.53,14.39,0.14,11.08,10.84,0.24
CA0480,10.3390/coatings13050928,"L1-C coated laser-textured CFRP, cleaning step 5",diiodomethane,89,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,3.12,0.68,2.44,11.08,10.84,0.24
CA0481,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 0",water,161,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,1.04,1.04,0,1.62,1.43,0.19
CA0482,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 0",formamide,141,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,1.47,1.26,0.21,1.62,1.43,0.19
CA0483,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 0",diiodomethane,136,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,2.93,2.39,0.54,1.62,1.43,0.19
CA0484,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 1",water,158,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,2.64,2.48,0.15,4.73,4.1,0.63
CA0485,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 1",formamide,127,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,4.09,3.39,0.69,4.73,4.1,0.63
CA0486,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 1",diiodomethane,123,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,10.93,8.55,2.37,4.73,4.1,0.63
CA0487,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 2",water,146,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,9.64,6.06,3.59,4.21,3.87,0.35
CA0488,10.3390/coatings13050928,"L2-C coated laser-textured CFRP, cleaning step 2",formamide,139,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,4.99,4.7,0.3,4.21,3.87,0.35
