sample_id,record_id,surface_group_id,source_group_id,v4_split,target_liquid_id,n_probes,n_unique_liquids,fit_status,boundary_fit,nnls_dispersion_mj_m2,nnls_polar_mj_m2,nnls_total_mj_m2,nnls_residual_norm,legacy_sqrt_dispersion,legacy_sqrt_polar,legacy_squared_dispersion_mj_m2,legacy_squared_polar_mj_m2,legacy_negative_coefficient,target_contact_angle_deg,nnls_physical_prediction_deg,legacy_squared_physical_prediction_deg
PA_CA0077,CA0077,SFC_95580B5C4364,SRC010,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,122.42,,
PA_CA0078,CA0078,SFC_95580B5C4364,SRC010,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,84.98,,
PA_CA0079,CA0079,SFC_F7990EF3D076,SRC010,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,116.91,,
PA_CA0080,CA0080,SFC_F7990EF3D076,SRC010,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,79.59,,
PA_CA0081,CA0081,SFC_10C3C0102684,SRC010,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,60.42,,
PA_CA0082,CA0082,SFC_10C3C0102684,SRC010,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,60.25,,
PA_CA0083,CA0083,SFC_FA6603E349B6,SRC010,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,76.51,,
PA_CA0084,CA0084,SFC_FA6603E349B6,SRC010,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,58.3,,
PA_CA0085,CA0085,SFC_91AEF1F6D63F,SRC010,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,103.37,,
PA_CA0086,CA0086,SFC_91AEF1F6D63F,SRC010,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,80.65,,
PA_CA0087,CA0087,SFC_B26BB3C57516,SRC010,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,94.3,,
PA_CA0088,CA0088,SFC_B26BB3C57516,SRC010,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,76.04,,
PA_CA0089,CA0089,SFC_EE615B6001A2,SRC010,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,52.45,,
PA_CA0090,CA0090,SFC_EE615B6001A2,SRC010,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,66.51,,
PA_CA0091,CA0091,SFC_C256F7B116EE,SRC010,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,40.92,,
PA_CA0092,CA0092,SFC_C256F7B116EE,SRC010,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,40.8,,
PA_CA0093,CA0093,SFC_A5B2B66974AE,SRC009,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,83.5,,
PA_CA0094,CA0094,SFC_A5B2B66974AE,SRC009,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,77.7,,
PA_CA0095,CA0095,SFC_BF7DB4F8493A,SRC009,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,11.4,,
PA_CA0096,CA0096,SFC_BF7DB4F8493A,SRC009,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,30.2,,
PA_CA0097,CA0097,SFC_1CE43E1DBA17,SRC009,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,101.3,,
PA_CA0098,CA0098,SFC_1CE43E1DBA17,SRC009,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,83.8,,
PA_CA0099,CA0099,SFC_CD91556CDD43,SRC009,train,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,65.4,,
PA_CA0100,CA0100,SFC_CD91556CDD43,SRC009,train,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,61.3,,
PA_CA0101,CA0101,SFC_5EB9C176CFB3,SRC007,validation,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,98.7,,
PA_CA0102,CA0102,SFC_5EB9C176CFB3,SRC007,validation,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,45.7,,
PA_CA0103,CA0103,SFC_4A9A552599CA,SRC007,validation,LIQ_0F4168490E,1,1,insufficient_probes,no,,,,,,,,,no,85.6,,
PA_CA0104,CA0104,SFC_4A9A552599CA,SRC007,validation,LIQ_6656B41AB7,1,1,insufficient_probes,no,,,,,,,,,no,27.8,,
