target_measurement_id,record_id,source_group_id,surface_group_id,target_liquid_id,target_contact_angle_deg,v4_split,has_independent_sfe,independent_sfe_dispersion_mj_m2,independent_sfe_polar_mj_m2,sample_id,prediction_mode,probe_measurement_ids,probe_liquid_ids,n_probes,target_liquid_removed,loo_sfe_feasible,loo_sfe_failure_reason,nnls_dispersion_mj_m2,nnls_polar_mj_m2,nnls_physical_prediction_deg
CA0001,CA0001,SRC023,SFC_04353B2CE787,LIQ_0F4168490E,70.0,excluded_review,no,,,ZS_CA0001,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
CA0002,CA0002,SRC023,SFC_96578C5761C3,LIQ_0F4168490E,75.0,excluded_review,no,,,ZS_CA0002,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
CA0003,CA0003,SRC023,SFC_A713C80D8A86,LIQ_0F4168490E,76.0,excluded_review,no,,,ZS_CA0003,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
CA0004,CA0004,SRC023,SFC_833BD19E975A,LIQ_0F4168490E,78.0,excluded_review,no,,,ZS_CA0004,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
CA0005,CA0005,SRC023,SFC_EF3937BBEA40,LIQ_0F4168490E,65.0,excluded_review,no,,,ZS_CA0005,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
CA0006,CA0006,SRC023,SFC_B1C3F4195927,LIQ_0F4168490E,64.0,excluded_review,no,,,ZS_CA0006,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
CA0007,CA0007,SRC023,SFC_3269642DA2B0,LIQ_0F4168490E,72.0,excluded_review,no,,,ZS_CA0007,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
CA0008,CA0008,SRC023,SFC_258CBA406DD6,LIQ_0F4168490E,74.0,excluded_review,no,,,ZS_CA0008,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
CA0009,CA0009,SRC023,SFC_DB683EF7A2C1,LIQ_0F4168490E,80.0,excluded_review,no,,,ZS_CA0009,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
CA0010,CA0010,SRC023,SFC_EEA5FB824E7A,LIQ_0F4168490E,75.0,excluded_review,no,,,ZS_CA0010,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
CA0011,CA0011,SRC023,SFC_E24B19E460DE,LIQ_0F4168490E,82.0,excluded_review,no,,,ZS_CA0011,zero_shot,,,0,no,no,zero_shot_not_applicable,0.0,0.0,0.0
