source_group_id,reference_doi,reference_url,source_type,reference_title,reference_authors,reference_year,collection_status,license,extraction_status,new_external_source_flag,applsci_split
SDX001,10.1038/s41598-025-25325-5,https://doi.org/10.1038/s41598-025-25325-5,literature,Graphene oxide and cannabidiol-based hybrid coatings on PMMA,Dziadkowiec et al.,2025,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SDX002,10.1073/pnas.0403269102,https://doi.org/10.1073/pnas.0403269102,literature,Nanoscale Investigation of Pathogenic Microbial Adhesion to a Biomaterial,Vadillo-Rodriguez et al.,2004,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SDX003,10.1208/s12248-008-9057-0,https://doi.org/10.1208/s12248-008-9057-0,literature,Surface Energy of Microcrystalline Cellulose Determined by Capillary Intrusion and Inverse Gas Chromatography,Douroumis et al.,2008,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SDX004,10.3390/coatings13050928,https://doi.org/10.3390/coatings13050928,literature,Enhancing Coating Adhesion on Fibre-Reinforced Composite by Femtosecond Laser Texturing,Olszewski et al.,2023,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SDX005,10.3390/ma17215238,https://doi.org/10.3390/ma17215238,literature,Optimization of a Low Surface Energy Coating for Enhanced Water Resistance and Condensation Suppression,Kwok et al.,2024,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SDX006,10.3390/ma19030529,https://doi.org/10.3390/ma19030529,literature,Green Deep Eutectic Solvents for Functionalizing Chitosan-Dialdehyde Materials with Varied Crosslinker Content,Mohammed et al.,2026,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SDX007,10.3390/polym12091856,https://doi.org/10.3390/polym12091856,literature,The Effect of Natural Additives on the Composting Properties of Aliphatic Polyesters,Plota et al.,2020,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SDX008,10.3390/polym13244289,https://doi.org/10.3390/polym13244289,literature,Effect of Poly(lactic acid) on the Properties of Water/Oil Interfaces and Emulsion Films,Szczepaniak et al.,2021,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SDX009,10.3390/polym17020208,https://doi.org/10.3390/polym17020208,literature,Novel Co-Polyamides Containing Pendant Phenyl/Pyridinyl Groups as Materials for Nonwoven Polyester Membrane Modification,Lukasik et al.,2025,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SDX010,10.3762/bjnano.6.212,https://doi.org/10.3762/bjnano.6.212,literature,Nanostructured superhydrophobic films synthesized by electrodeposition of fluorinated polyindoles,Sivakumar et al.,2015,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC001,10.1007/s11671-009-9380-0,https://doi.org/10.1007/s11671-009-9380-0,literature,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,I. Torchinsky; G. Rosenman,2009,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC002,10.1016/j.apsusc.2012.02.107,https://doi.org/10.1016/j.apsusc.2012.02.107,literature,Superhydrophobic terpolymer nanofibers containing perfluoroethyl alkyl methacrylate by electrospinning,A. S. Sarac et al.,2012,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC003,10.1016/j.apsusc.2018.09.052,https://doi.org/10.1016/j.apsusc.2018.09.052,literature,Fabrication of superamphiphobic Cu surfaces using hierarchical surface morphology and fluorocarbon attachment facilitated by plasma activation,Cai et al.,2019,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC004,10.1038/NMAT3545,https://doi.org/10.1038/NMAT3545,literature,Hydrophobicity of rare-earth oxide ceramics,G. Azimi et al.,2013,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC005,10.1038/s41598-017-06621-1,https://doi.org/10.1038/s41598-017-06621-1,literature,"Mechanically durable, liquid-impregnated honeycomb surfaces",P. S. Brown; B. Bhushan,2017,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC006,10.1038/s41598-018-26585-0,https://doi.org/10.1038/s41598-018-26585-0,literature,Flexible Organic Thin Film Transistors Incorporating a Biodegradable CO2-based Polymer as the Dielectric and Substrate,Rullyani et al.,2018,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC007,10.1038/s41598-019-42495-1,https://doi.org/10.1038/s41598-019-42495-1,literature,Electrical percolation threshold of carbon black in a polymer matrix and its connection to polymer-filler gel formation,Choi et al.,2019,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC008,10.1038/s41598-023-36956-x,https://doi.org/10.1038/s41598-023-36956-x,literature,Preparation and characterization of photopolymerized hydrogels for 3D bioprinting applications,Mesquita et al.,2023,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC009,10.1038/s41598-024-61327-5,https://doi.org/10.1038/s41598-024-61327-5,literature,An investigation of methods to enhance adhesion of conductive layer and dielectric substrate for additive manufacturing of electronics,Zhang et al.,2024,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC010,10.1038/s41598-025-19841-7,https://doi.org/10.1038/s41598-025-19841-7,literature,Comparative study of surface modification of fluorinated and non-fluorinated polymers using SDBD air plasma,F. Jamali; A. Kargarian,2025,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC011,10.1038/s41598-026-40965-x,https://doi.org/10.1038/s41598-026-40965-x,literature,Thirty years of contact angles reveal universal design rules for wetting control,Berry et al.,2026,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC012,10.1039/C4TA06944G,https://doi.org/10.1039/C4TA06944G,literature,"Transparent, thermally and mechanically stable superhydrophobic coating prepared by an electrochemical template strategy",L. Xu; D. Zhu; X. Lu; Q. Lu,2015,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC013,10.1039/C9RA03801A,https://doi.org/10.1039/C9RA03801A,literature,Electronic performance of printed PEDOT:PSS lines correlated to the physical and chemical properties of coated inkjet papers,Viviane Forsberg; Jan Maslik; Magnus Norgren,2019,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC014,10.1039/D2RA08165B,https://doi.org/10.1039/D2RA08165B,literature,Exploration of advanced cellulosic material for membrane filtration with outstanding antifouling property,D. Koyama; T. Sakajiri; T. Kakuchi; K. Numata; R. Kakuchi,2023,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC015,10.1186/1556-276X-6-411,https://doi.org/10.1186/1556-276X-6-411,literature,Nanoscale surface modifications to control capillary flow characteristics in PMMA microfluidic devices,Subhadeep Mukhopadhyay et al.,2011,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC016,10.1186/s13568-014-0032-0,https://doi.org/10.1186/s13568-014-0032-0,literature,Paper-based planar reaction arrays for printed diagnostics,A. M盲盲tt盲nen et al.,2014,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC017,10.3389/fchem.2018.00144,https://doi.org/10.3389/fchem.2018.00144,literature,Mechanically Robust and Thermally Stable Colorful Superamphiphobic Coatings,N. Tian; P. Zhang; J. Zhang,2018,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC018,10.3390/coatings11060663,https://doi.org/10.3390/coatings11060663,literature,Robust Superhydrophobic and Superoleophilic FEP/SiO2 Hybrid Coatings for Highly Efficient Oil/Water Separation,X. Huang; R. Yu,2021,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC019,10.3390/ijms22084012,https://doi.org/10.3390/ijms22084012,literature,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,A. Plota; A. Masek,2021,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC020,10.3390/met12010080,https://doi.org/10.3390/met12010080,literature,The Effect of Anodizing Treatment in Various Electrolytes on the Structural Features and Photoactive Properties of Titania Nanotube Arrays,E. Kobayashi et al.,2022,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC021,10.3390/nano11030670,https://doi.org/10.3390/nano11030670,literature,Hydrophobic/Oleophilic Structures Based on MacroPorous Silicon: Effect of Topography and Fluoroalkylsilanization on Wettability,P. Formentin; L. F. Marsal,2021,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC022,10.3390/polym15224460,https://doi.org/10.3390/polym15224460,literature,Ionenes as Potential Phase Change Materials with Self-Healing Behavior,Andrzejewska et al.,2023,verified,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC023,,,database,Legacy database record without row-level public DOI,Legacy compilation,2026,extracted,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
SRC024,,,database,Legacy database subset without row-level public DOI,Legacy compilation,2026,extracted,source_license_to_verify,legacy_curated_requires_v4_review,no,provisional_legacy_migration
OPEN_CELLULOSE_ESTER,10.1039/D2RA08165B,https://pmc.ncbi.nlm.nih.gov/articles/PMC9993463/,open_literature_table,Cellulose ester wettability data,,2023,verified,CC BY 3.0 Unported,validated_staged,yes,prospective_open_external
OPEN_CROSS_MATERIAL_2026,10.1038/s41598-026-40965-x,https://pmc.ncbi.nlm.nih.gov/articles/PMC13031877/,open_literature_table,Cross-material contact-angle compilation,,2026,verified,CC BY 4.0,validated_staged,yes,prospective_open_external
OPEN_POLYMER_SURFACES_2023,10.55730/1300-0527.3518,https://pmc.ncbi.nlm.nih.gov/articles/PMC10504009/,open_literature_table,Polymer surface contact-angle table,,2023,verified,CC BY 4.0,validated_staged,yes,prospective_open_external
OPEN_TEXTILE_ANTI_WETTING_2019,10.3390/polym11030498,https://pmc.ncbi.nlm.nih.gov/articles/PMC6473839/,open_literature_table,Textile anti-wetting surface contact and shedding angles,,2019,verified,CC BY 4.0,validated_staged,yes,prospective_open_external
OPEN_PLA_FILMS_2021,10.3390/polym13244289,https://pmc.ncbi.nlm.nih.gov/articles/PMC8707572/,open_literature_table,PLA film contact angles across substrates and solvents,,2021,verified,CC BY 4.0,validated_staged,yes,prospective_open_external
OPEN_CARBON_GLYCAN_2016,10.1038/srep24840,https://pmc.ncbi.nlm.nih.gov/articles/PMC4843010/,open_literature_table,Carbon surface functionalization contact angles,,2016,verified,CC BY 4.0,validated_staged,yes,prospective_open_external
OPEN_FACEMASK_2023,10.18502/ijm.v15i2.12482,https://pmc.ncbi.nlm.nih.gov/articles/PMC10183065/,open_literature_table,Reusable facemask contact-angle table,,2023,verified,CC BY-NC 4.0 for non-commercial research,validated_staged,yes,prospective_open_external
OPEN_CHITOSAN_GELATIN_2022,10.3390/ijms23179700,https://pmc.ncbi.nlm.nih.gov/articles/PMC9456065/,open_literature_table,Chitosan-gelatin film wettability table,,2022,verified,CC BY 4.0,validated_staged,yes,prospective_open_external
