split,comparison,cluster,n_clusters,n_resamples,mae_difference_a_minus_b_deg,ci95_lower_deg,ci95_upper_deg,probability_a_better
nested_source_cv,fusion_minus_physics,surface_group_id,73,10000,2.354860166646276,0.8557983711453039,3.7352450546198837,0.001
nested_source_cv,fusion_minus_neural,surface_group_id,73,10000,1.3530465137831698,0.05140991342131526,2.564646524127969,0.0213
nested_source_cv,fusion_minus_physics_residual_xgboost,surface_group_id,73,10000,4.196464823887858,2.4401578828818065,6.0794565234079165,0.0
nested_source_cv,fusion_minus_physics_residual_random_forest,surface_group_id,73,10000,2.964514534868659,1.7096411864497985,4.262829589670724,0.0
nested_source_cv,fusion_minus_direct_xgboost,surface_group_id,73,10000,0.5322821926943782,-1.8745388425654503,2.9707354507327755,0.325
nested_source_cv,fusion_minus_physics,source_group_id,8,10000,2.354860166646276,-0.6788854054373401,6.137814941453812,0.0955
nested_source_cv,fusion_minus_neural,source_group_id,8,10000,1.3530465137831698,-1.8218806514492822,5.124035800672334,0.3055
nested_source_cv,fusion_minus_physics_residual_xgboost,source_group_id,8,10000,4.196464823887858,-0.7915260390137586,9.227383322500433,0.0783
nested_source_cv,fusion_minus_physics_residual_random_forest,source_group_id,8,10000,2.964514534868659,-0.47716988018150025,5.893936076388318,0.0455
nested_source_cv,fusion_minus_direct_xgboost,source_group_id,8,10000,0.5322821926943782,-6.531865292298612,7.484262299329161,0.4714
internal_test,fusion_minus_physics,surface_group_id,9,10000,-0.08028026517776254,-17.914655145244915,14.749185345622244,0.5632
internal_test,fusion_minus_neural,surface_group_id,9,10000,3.8707644345472225,-7.987260078736374,14.026158730219649,0.3107
internal_test,fusion_minus_physics_residual_xgboost,surface_group_id,9,10000,-0.4802621846346895,-4.550445445892141,4.9453775432668134,0.5394
internal_test,fusion_minus_physics_residual_random_forest,surface_group_id,9,10000,2.6322437910028995,-6.93993414708127,10.335135230471511,0.3235
internal_test,fusion_minus_direct_xgboost,surface_group_id,9,10000,-6.292712767475553,-15.800587774819018,4.827439331231089,0.8367
internal_test,fusion_minus_physics,source_group_id,4,10000,-0.08028026517776254,-15.816807323093286,26.56065457856615,0.5219
internal_test,fusion_minus_neural,source_group_id,4,10000,3.8707644345472225,-6.771523216279654,21.90984651651383,0.3412
internal_test,fusion_minus_physics_residual_xgboost,source_group_id,4,10000,-0.4802621846346895,-8.066394309139241,4.316632053343142,0.6226
internal_test,fusion_minus_physics_residual_random_forest,source_group_id,4,10000,2.6322437910028995,-5.907631420719731,16.529621237394444,0.3412
internal_test,fusion_minus_direct_xgboost,source_group_id,4,10000,-6.292712767475553,-24.656998060187103,3.7241701194580195,0.8686
legacy_external,fusion_minus_physics,surface_group_id,38,10000,-2.993933229369098,-5.335461478394237,-0.719967237916568,0.9953
legacy_external,fusion_minus_neural,surface_group_id,38,10000,-1.4498866279666736,-2.96728600380608,0.08297316292697127,0.9682
legacy_external,fusion_minus_physics_residual_xgboost,surface_group_id,38,10000,-0.4298512017246221,-1.255399158720155,0.3982256144482454,0.8487
legacy_external,fusion_minus_physics_residual_random_forest,surface_group_id,38,10000,0.17185895131155604,-0.9013417007446086,1.268664930665873,0.3734
legacy_external,fusion_minus_direct_xgboost,surface_group_id,38,10000,-1.682095984889644,-4.149176204263815,0.8166642623336959,0.907
legacy_external,fusion_minus_physics,source_group_id,7,10000,-2.993933229369098,-8.13976976612858,-0.7419508673110151,0.9963
legacy_external,fusion_minus_neural,source_group_id,7,10000,-1.4498866279666736,-4.594774981773341,0.25506224388042226,0.9526
legacy_external,fusion_minus_physics_residual_xgboost,source_group_id,7,10000,-0.4298512017246221,-1.2498617321825864,1.1955228857419904,0.7571
legacy_external,fusion_minus_physics_residual_random_forest,source_group_id,7,10000,0.17185895131155604,-1.2100657884034671,1.348703542544392,0.3607
legacy_external,fusion_minus_direct_xgboost,source_group_id,7,10000,-1.682095984889644,-4.436787473020916,4.46578109814762,0.7232
prospective_open_external,fusion_minus_physics,surface_group_id,68,10000,-5.245166157830061,-7.263834783875573,-3.242698600603894,1.0
prospective_open_external,fusion_minus_neural,surface_group_id,68,10000,-4.166651000979696,-5.654877469307652,-2.6964659897425434,1.0
prospective_open_external,fusion_minus_physics_residual_xgboost,surface_group_id,68,10000,-0.12339404560875877,-0.6938174644412345,0.4535943838382482,0.6709
prospective_open_external,fusion_minus_physics_residual_random_forest,surface_group_id,68,10000,0.31378014674434773,-0.38760741161591084,0.9933555589432196,0.1817
prospective_open_external,fusion_minus_direct_xgboost,surface_group_id,68,10000,-1.6756441176157058,-3.1706423913598263,-0.25323476366148856,0.9897
prospective_open_external,fusion_minus_physics,source_group_id,7,10000,-5.245166157830061,-11.408986389308998,-2.007683279742921,1.0
prospective_open_external,fusion_minus_neural,source_group_id,7,10000,-4.166651000979696,-8.440015333042382,-1.986104255368872,1.0
prospective_open_external,fusion_minus_physics_residual_xgboost,source_group_id,7,10000,-0.12339404560875877,-0.9298371948237545,1.549018117409015,0.6046
prospective_open_external,fusion_minus_physics_residual_random_forest,source_group_id,7,10000,0.31378014674434773,-1.5964730437152355,1.4487865143497287,0.334
prospective_open_external,fusion_minus_direct_xgboost,source_group_id,7,10000,-1.6756441176157058,-3.923128816353625,0.8994746870011454,0.8975
