split,prediction_mode,model,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg,interval_coverage,mean_interval_width_deg,retained_fraction,retained_mae_deg
nested_source_cv,probe_assisted,physics_expert,240,16.334625195833333,23.793155995631732,0.5718434433836854,10.442892500000003,44.57247099999998,,,,
nested_source_cv,probe_assisted,neural_expert,240,17.336439125000002,23.59000422037932,0.5791236405190205,14.046954000000001,41.937896099999996,,,,
nested_source_cv,probe_assisted,physics_residual_xgboost_expert,240,14.493020625046013,19.720471011129014,0.7058742401040228,11.80126713116963,26.025306447347003,,,,
nested_source_cv,probe_assisted,physics_residual_random_forest_expert,240,15.724970949033272,20.689638543225875,0.6762540815187432,12.889305444249839,29.91773580493267,,,,
nested_source_cv,probe_assisted,direct_xgboost_baseline,240,18.157203370730084,23.50788993302624,0.5820485923104488,14.25269063313802,37.283943227132156,,,,
nested_source_cv,probe_assisted,direct_random_forest_baseline,240,22.498031592911918,29.269864868799512,0.352052333889572,16.390116013188454,50.55332570588026,,,,
nested_source_cv,probe_assisted,ls_psrmoe_fusion,240,18.689485503025086,24.21086475309584,0.5566781893218067,15.03876095215093,42.60347891690604,0.8791666666666667,80.02562585540412,0.8,16.267491269380738
internal_test,probe_assisted,physics_expert,34,29.686183147058827,43.426413009715,0.534343011167046,21.700000000000003,83.99015399999999,,,,
internal_test,probe_assisted,neural_expert,34,25.735139794117657,37.526006907340424,0.6522854075895712,12.34813800000001,71.608573,,,,
internal_test,probe_assisted,physics_residual_xgboost_expert,34,30.086165624506332,33.65900875376792,0.7202559535346097,28.97088737487793,52.70321197509767,,,,
internal_test,probe_assisted,physics_residual_random_forest_expert,34,26.973659469353578,33.47000900373591,0.7233887323328274,19.99527122500138,54.565035858908104,,,,
internal_test,probe_assisted,direct_xgboost_baseline,34,35.898616207347196,41.84762067606239,0.5675859969764574,33.059243011474614,67.57386199951172,,,,
internal_test,probe_assisted,direct_random_forest_baseline,34,43.85371151165722,45.69320540118965,0.48446107834563623,46.24425029610316,58.94987809254829,,,,
internal_test,probe_assisted,ls_psrmoe_fusion,34,29.60590343987164,33.2381006792191,0.7272086427750103,26.857139118780097,47.19700870206404,0.6764705882352942,72.31286544909051,1.0,29.60590343987164
legacy_external,probe_assisted,physics_expert,107,15.102000925233643,22.251329417814635,0.7744060136494121,10.449739999999991,32.046307999999996,,,,
legacy_external,probe_assisted,neural_expert,107,13.557954616822434,18.503492133339467,0.8440005771433536,11.230800000000002,24.094252000000008,,,,
legacy_external,probe_assisted,physics_residual_xgboost_expert,107,12.53791907697777,15.648922559491025,0.8884204836008275,10.485470294952407,24.29330497741701,,,,
legacy_external,probe_assisted,physics_residual_random_forest_expert,107,11.936209045156268,16.33594986724193,0.8784081752900551,9.18617480255088,24.07133772148879,,,,
legacy_external,probe_assisted,direct_xgboost_baseline,107,13.790163820926276,17.284835620577294,0.863872427669634,10.539282226562499,30.895701904296878,,,,
legacy_external,probe_assisted,direct_random_forest_baseline,107,23.507243925276626,28.698193820258734,0.6247465266666263,23.642302382595446,47.984391320425374,,,,
legacy_external,probe_assisted,ls_psrmoe_fusion,107,12.108067832471493,15.746015666365782,0.8870316071217175,10.162485453315497,22.912394832017572,0.9719626168224299,74.41260225960355,1.0,12.108067832471493
prospective_open_external,probe_assisted,physics_expert,206,18.56036842961165,25.801211581855274,0.5686987441259006,14.063505,40.547285,,,,
prospective_open_external,probe_assisted,neural_expert,206,17.481853176650485,22.692815105259207,0.6663606459983265,13.248460999999995,35.02821449999999,,,,
prospective_open_external,probe_assisted,physics_residual_xgboost_expert,206,13.438596243279742,18.393100270701236,0.7808152172803581,10.8421290718019,24.84840598106384,,,,
prospective_open_external,probe_assisted,physics_residual_random_forest_expert,206,13.00142201389074,18.05950340305774,0.7886938533552253,9.880194823160252,24.215217310061277,,,,
prospective_open_external,probe_assisted,direct_xgboost_baseline,206,14.990846293065154,19.181937884345157,0.7616114000828261,12.253029251098633,28.385988464355464,,,,
prospective_open_external,probe_assisted,direct_random_forest_baseline,206,18.89141497978081,24.887499943510385,0.5987056303086695,13.982820968988072,43.489860930195896,,,,
prospective_open_external,probe_assisted,ls_psrmoe_fusion,206,13.315202190263811,18.398157817456585,0.780694662324698,9.71512320891621,25.365243007071765,0.9563106796116505,76.0402491510478,1.0,13.315202190263811
