outer_fold,config_key,max_delta_cos,source_balance,residual_penalty,expert_set,n_experts,inner_oof_mae_deg,inner_oof_source_median_mae_deg,weights_json,median_best_epoch
0,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural,2,14.3993977008816,13.74314143423979,"{""neural"": 0.44924770537173886, ""physics"": 0.5507522946282611}",6
0,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+xgboost,3,14.201262728985164,12.3724108259466,"{""neural"": 0.19198842038956795, ""physics"": 0.5849912690221596, ""xgboost"": 0.2230203105882725}",6
0,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+random_forest,3,14.290175213845016,12.925262011496788,"{""neural"": 0.29327433248295504, ""physics"": 0.5109051484716843, ""random_forest"": 0.19582051904536052}",6
0,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+xgboost+random_forest,4,14.201262709991877,12.372410317125835,"{""neural"": 0.19198902521253383, ""physics"": 0.5849908588997873, ""random_forest"": 0.0, ""xgboost"": 0.22302011588767898}",6
0,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural,2,14.39939736918128,13.743151576486293,"{""neural"": 0.44925020733460164, ""physics"": 0.5507497926653984}",6
0,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+xgboost,3,14.201262382195596,12.372408915065968,"{""neural"": 0.19199115294373578, ""physics"": 0.5849886789639542, ""xgboost"": 0.22302016809231004}",6
0,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+random_forest,3,14.290174971567742,12.925266933111756,"{""neural"": 0.2932758356267151, ""physics"": 0.510903796286144, ""random_forest"": 0.19582036808714096}",6
0,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+xgboost+random_forest,4,14.201262393497892,12.372408775878158,"{""neural"": 0.19199129460985379, ""physics"": 0.5849887610750076, ""random_forest"": 4.8885403478988346e-18, ""xgboost"": 0.2230199443151386}",6
0,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural,2,14.305531627114492,14.87572143815087,"{""neural"": 0.7342210973246133, ""physics"": 0.2657789026753867}",13
0,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+xgboost,3,14.138574265153416,12.597350264394588,"{""neural"": 0.5238515538604324, ""physics"": 0.274462831456367, ""xgboost"": 0.20168561468320062}",13
0,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+random_forest,3,14.22687429096725,14.231684773617104,"{""neural"": 0.62144319837522, ""physics"": 0.2105725932471124, ""random_forest"": 0.16798420837766767}",13
0,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+xgboost+random_forest,4,14.138574329035803,12.59735152343497,"{""neural"": 0.5238504605015389, ""physics"": 0.2744647036237637, ""random_forest"": 0.0, ""xgboost"": 0.20168483587469743}",13
0,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural,2,14.30552945255996,14.875810075635822,"{""neural"": 0.7342439802901697, ""physics"": 0.2657560197098304}",13
0,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+xgboost,3,14.138568972377744,12.59742340381623,"{""neural"": 0.5238696642509548, ""physics"": 0.2744451173497726, ""xgboost"": 0.20168521839927242}",13
0,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+random_forest,3,14.226872429507994,14.231756065503962,"{""neural"": 0.6214614707327489, ""physics"": 0.2105548336064191, ""random_forest"": 0.167983695660832}",13
0,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+xgboost+random_forest,4,14.13856904069411,12.597425250651924,"{""neural"": 0.523868711073892, ""physics"": 0.2744468539708748, ""random_forest"": 3.196448233053553e-17, ""xgboost"": 0.20168443495523308}",13
0,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural,2,14.365798203285262,13.801117824423283,"{""neural"": 0.32459094526347526, ""physics"": 0.6754090547365248}",6
0,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural+xgboost,3,14.177136365117217,12.293698994426636,"{""neural"": 0.20632144436544492, ""physics"": 0.5763511575143492, ""xgboost"": 0.21732739812020602}",6
0,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural+random_forest,3,14.26436384996377,13.180591819458863,"{""neural"": 0.25449174249570444, ""physics"": 0.554234552266376, ""random_forest"": 0.1912737052379197}",6
0,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural+xgboost+random_forest,4,14.17713639791871,12.29369779673748,"{""neural"": 0.2063225154865413, ""physics"": 0.5763499964532962, ""random_forest"": 0.0, ""xgboost"": 0.21732748806016244}",6
0,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural,2,14.37063750672487,13.74431289799113,"{""neural"": 0.314515021710637, ""physics"": 0.6854849782893631}",6
0,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural+xgboost,3,14.180050170073425,12.29988263173684,"{""neural"": 0.2008957692770703, ""physics"": 0.5810173066216501, ""xgboost"": 0.2180869241012797}",6
0,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural+random_forest,3,14.268082558385817,13.142141558804248,"{""neural"": 0.2478200124581238, ""physics"": 0.5601956535948978, ""random_forest"": 0.1919843339469785}",6
0,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural+xgboost+random_forest,4,14.18005014145263,12.299883600510032,"{""neural"": 0.20089492557573968, ""physics"": 0.5810179959220741, ""random_forest"": 0.0, ""xgboost"": 0.21808707850218628}",6
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural,2,14.32595792449258,14.549380245482856,"{""neural"": 0.45564751693006816, ""physics"": 0.5443524830699319}",10
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+xgboost,3,14.145458663810238,12.20739225187518,"{""neural"": 0.3145007983621501, ""physics"": 0.4702613553541413, ""xgboost"": 0.21523784628370843}",10
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+random_forest,3,14.24370842822453,13.781412226322463,"{""neural"": 0.3569470993620099, ""physics"": 0.4652255577719404, ""random_forest"": 0.17782734286604973}",10
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+xgboost+random_forest,4,14.145458663884238,12.20739238074375,"{""neural"": 0.3145008061115478, ""physics"": 0.47026135946187425, ""random_forest"": 0.0, ""xgboost"": 0.21523783442657785}",10
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural,2,14.325959021334823,14.549369435502236,"{""neural"": 0.45564579633810687, ""physics"": 0.5443542036618932}",10
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+xgboost,3,14.145459491432455,12.207377018674899,"{""neural"": 0.31449824457642855, ""physics"": 0.47026390335174306, ""xgboost"": 0.21523785207182844}",10
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+random_forest,3,14.243709176571745,13.781400774669647,"{""neural"": 0.35694526050148173, ""physics"": 0.4652272224667027, ""random_forest"": 0.17782751703181565}",10
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+xgboost+random_forest,4,14.145459488743084,12.207376212714735,"{""neural"": 0.31449813929948683, ""physics"": 0.47026397930418934, ""random_forest"": 1.9228494935619872e-17, ""xgboost"": 0.21523788139632383}",10
0,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural,2,14.403240020434588,13.142528263562905,"{""neural"": 0.15439547718762517, ""physics"": 0.8456045228123749}",3
