target_measurement_id,record_id,source_group_id,surface_group_id,target_liquid_id,target_contact_angle_deg,v4_split,has_independent_sfe,independent_sfe_dispersion_mj_m2,independent_sfe_polar_mj_m2,sample_id,prediction_mode,probe_measurement_ids,probe_liquid_ids,n_probes,target_liquid_removed,loo_sfe_feasible,loo_sfe_failure_reason,fit_status,boundary_fit,nnls_residual_norm,n_unique_liquids,nnls_dispersion_mj_m2,nnls_polar_mj_m2,nnls_physical_prediction_deg,target_eligible,v4_1_exclusion_reason,v4_1_primary_eligible
CA0077,CA0077,SRC010,SFC_95580B5C4364,LIQ_0F4168490E,122.42,train,no,,,PA_CA0077,probe_assisted,CA0078,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0078,CA0078,SRC010,SFC_95580B5C4364,LIQ_6656B41AB7,84.98,train,no,,,PA_CA0078,probe_assisted,CA0077,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0079,CA0079,SRC010,SFC_F7990EF3D076,LIQ_0F4168490E,116.91,train,no,,,PA_CA0079,probe_assisted,CA0080,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0080,CA0080,SRC010,SFC_F7990EF3D076,LIQ_6656B41AB7,79.59,train,no,,,PA_CA0080,probe_assisted,CA0079,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0081,CA0081,SRC010,SFC_10C3C0102684,LIQ_0F4168490E,60.42,train,no,,,PA_CA0081,probe_assisted,CA0082,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0082,CA0082,SRC010,SFC_10C3C0102684,LIQ_6656B41AB7,60.25,train,no,,,PA_CA0082,probe_assisted,CA0081,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0083,CA0083,SRC010,SFC_FA6603E349B6,LIQ_0F4168490E,76.51,train,no,,,PA_CA0083,probe_assisted,CA0084,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0084,CA0084,SRC010,SFC_FA6603E349B6,LIQ_6656B41AB7,58.3,train,no,,,PA_CA0084,probe_assisted,CA0083,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0085,CA0085,SRC010,SFC_91AEF1F6D63F,LIQ_0F4168490E,103.37,train,no,,,PA_CA0085,probe_assisted,CA0086,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0086,CA0086,SRC010,SFC_91AEF1F6D63F,LIQ_6656B41AB7,80.65,train,no,,,PA_CA0086,probe_assisted,CA0085,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0087,CA0087,SRC010,SFC_B26BB3C57516,LIQ_0F4168490E,94.3,train,no,,,PA_CA0087,probe_assisted,CA0088,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0088,CA0088,SRC010,SFC_B26BB3C57516,LIQ_6656B41AB7,76.04,train,no,,,PA_CA0088,probe_assisted,CA0087,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
