sample_id,record_id,source_group_id,surface_group_id,target_liquid_id,prediction_mode,v4_split,theta_observed_deg,theta_pred_deg,interval_lower_deg,interval_upper_deg,confidence_level,risk_level,abstain_flag,physics_prediction,neural_prediction,tree_prediction,weight_physics,weight_neural,weight_tree,ood_score,unknown_category,ensemble_std_deg,aleatoric_sigma_deg,latent_sfe_dispersion_mj_m2,latent_sfe_polar_mj_m2,residual_shift_cosine,model_version,status
ZS_CA0077,CA0077,SRC010,SFC_95580B5C4364,LIQ_0F4168490E,zero_shot,train,122.42,110.305786,47.03471374511719,173.5768585205078,0.9,medium,no,110.455154,109.23079,112.639626,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.1815405,8.067277,15.471341,0.5623332,0.020188633,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0078,CA0078,SRC010,SFC_95580B5C4364,LIQ_6656B41AB7,zero_shot,train,84.98,80.46682,17.19574737548828,143.7378921508789,0.9,medium,no,84.06204,80.34364,80.326096,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.1670896,8.697258,15.471341,0.5623332,0.064252675,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0079,CA0079,SRC010,SFC_F7990EF3D076,LIQ_0F4168490E,zero_shot,train,116.91,65.6179,2.3468246459960938,128.88896942138672,0.9,medium,no,63.216454,62.37887,72.97508,0.034556914,0.66249657,0.30294648,0.0,no,1.1022273,20.678135,24.949017,17.057037,0.012957905,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0080,CA0080,SRC010,SFC_F7990EF3D076,LIQ_6656B41AB7,zero_shot,train,79.59,63.91763,0.6465568542480469,127.18870162963869,0.9,high,yes,66.3267,63.839733,63.81318,0.034556914,0.66249657,0.30294648,0.0,no,0.78902936,14.298075,24.949017,17.057037,0.039450813,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0081,CA0081,SRC010,SFC_10C3C0102684,LIQ_0F4168490E,zero_shot,train,60.42,65.6179,2.3468246459960938,128.88896942138672,0.9,medium,no,63.216454,62.37887,72.97508,0.034556914,0.66249657,0.30294648,0.0,no,1.1022273,20.678135,24.949017,17.057037,0.012957905,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0082,CA0082,SRC010,SFC_10C3C0102684,LIQ_6656B41AB7,zero_shot,train,60.25,63.91763,0.6465568542480469,127.18870162963869,0.9,high,yes,66.3267,63.839733,63.81318,0.034556914,0.66249657,0.30294648,0.0,no,0.78902936,14.298075,24.949017,17.057037,0.039450813,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0083,CA0083,SRC010,SFC_FA6603E349B6,LIQ_0F4168490E,zero_shot,train,76.51,65.6179,2.3468246459960938,128.88896942138672,0.9,medium,no,63.216454,62.37887,72.97508,0.034556914,0.66249657,0.30294648,0.0,no,1.1022273,20.678135,24.949017,17.057037,0.012957905,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0084,CA0084,SRC010,SFC_FA6603E349B6,LIQ_6656B41AB7,zero_shot,train,58.3,63.91763,0.6465568542480469,127.18870162963869,0.9,high,yes,66.3267,63.839733,63.81318,0.034556914,0.66249657,0.30294648,0.0,no,0.78902936,14.298075,24.949017,17.057037,0.039450813,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0085,CA0085,SRC010,SFC_91AEF1F6D63F,LIQ_0F4168490E,zero_shot,train,103.37,110.305786,47.03471374511719,173.5768585205078,0.9,medium,no,110.455154,109.23079,112.639626,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.1815405,8.067277,15.471341,0.5623332,0.020188633,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0086,CA0086,SRC010,SFC_91AEF1F6D63F,LIQ_6656B41AB7,zero_shot,train,80.65,80.46682,17.19574737548828,143.7378921508789,0.9,medium,no,84.06204,80.34364,80.326096,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.1670896,8.697258,15.471341,0.5623332,0.064252675,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0087,CA0087,SRC010,SFC_B26BB3C57516,LIQ_0F4168490E,zero_shot,train,94.3,65.6179,2.3468246459960938,128.88896942138672,0.9,medium,no,63.216454,62.37887,72.97508,0.034556914,0.66249657,0.30294648,0.0,no,1.1022273,20.678135,24.949017,17.057037,0.012957905,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0088,CA0088,SRC010,SFC_B26BB3C57516,LIQ_6656B41AB7,zero_shot,train,76.04,63.91763,0.6465568542480469,127.18870162963869,0.9,high,yes,66.3267,63.839733,63.81318,0.034556914,0.66249657,0.30294648,0.0,no,0.78902936,14.298075,24.949017,17.057037,0.039450813,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0089,CA0089,SRC010,SFC_EE615B6001A2,LIQ_0F4168490E,zero_shot,train,52.45,65.6179,2.3468246459960938,128.88896942138672,0.9,medium,no,63.216454,62.37887,72.97508,0.034556914,0.66249657,0.30294648,0.0,no,1.1022273,20.678135,24.949017,17.057037,0.012957905,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0090,CA0090,SRC010,SFC_EE615B6001A2,LIQ_6656B41AB7,zero_shot,train,66.51,63.91763,0.6465568542480469,127.18870162963869,0.9,high,yes,66.3267,63.839733,63.81318,0.034556914,0.66249657,0.30294648,0.0,no,0.78902936,14.298075,24.949017,17.057037,0.039450813,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0091,CA0091,SRC010,SFC_C256F7B116EE,LIQ_0F4168490E,zero_shot,train,40.92,65.6179,2.3468246459960938,128.88896942138672,0.9,medium,no,63.216454,62.37887,72.97508,0.034556914,0.66249657,0.30294648,0.0,no,1.1022273,20.678135,24.949017,17.057037,0.012957905,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0092,CA0092,SRC010,SFC_C256F7B116EE,LIQ_6656B41AB7,zero_shot,train,40.8,63.91763,0.6465568542480469,127.18870162963869,0.9,high,yes,66.3267,63.839733,63.81318,0.034556914,0.66249657,0.30294648,0.0,no,0.78902936,14.298075,24.949017,17.057037,0.039450813,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0093,CA0093,SRC009,SFC_A5B2B66974AE,LIQ_0F4168490E,zero_shot,train,83.5,81.98593,18.714859008789062,145.2570037841797,0.9,medium,no,83.4742,81.55503,82.75851,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.1063638,11.447378,18.478867,8.230051,0.033166338,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0094,CA0094,SRC009,SFC_A5B2B66974AE,LIQ_6656B41AB7,zero_shot,train,77.7,73.06763,9.796554565429688,136.3386993408203,0.9,medium,no,78.136826,74.6229,69.08824,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.0616007,9.80406,18.478867,8.230051,0.059747707,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0095,CA0095,SRC009,SFC_BF7DB4F8493A,LIQ_0F4168490E,zero_shot,train,11.4,29.02221,0.0,92.29328155517578,0.9,low,no,33.22443,32.003136,22.024052,0.034556914,0.66249657,0.30294648,0.24945893011659,no,2.4100397,20.60395,43.772453,25.312551,0.011353053,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0096,CA0096,SRC009,SFC_BF7DB4F8493A,LIQ_6656B41AB7,zero_shot,train,30.2,28.636507,0.0,91.90757942199708,0.9,low,no,31.014755,26.887823,32.189323,0.034556914,0.66249657,0.30294648,0.24945893011659,no,3.3778946,15.479207,43.772453,25.312551,0.031852216,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0097,CA0097,SRC009,SFC_1CE43E1DBA17,LIQ_0F4168490E,zero_shot,train,101.3,100.44571,37.17463684082031,163.71678161621094,0.9,medium,no,103.137695,101.216286,98.45352,0.034556914,0.66249657,0.30294648,0.3527882082636768,no,0.98053336,8.651342,14.573962,2.09851,0.032774728,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0098,CA0098,SRC009,SFC_1CE43E1DBA17,LIQ_6656B41AB7,zero_shot,train,83.8,80.25075,16.97967529296875,143.52182006835938,0.9,medium,no,85.9319,81.544266,76.774,0.034556914,0.66249657,0.30294648,0.3527882082636768,no,0.5849474,8.8433895,14.573962,2.09851,0.076115355,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0099,CA0099,SRC009,SFC_CD91556CDD43,LIQ_0F4168490E,zero_shot,train,65.4,65.14724,1.8761672973632808,128.4183120727539,0.9,medium,no,67.48501,65.48942,64.1323,0.034556914,0.66249657,0.30294648,0.3527882082636768,no,0.9288731,13.576861,26.635815,13.506226,0.03195618,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0100,CA0100,SRC009,SFC_CD91556CDD43,LIQ_6656B41AB7,zero_shot,train,61.3,59.34795,0.0,122.61902236938477,0.9,medium,no,63.375195,59.678,58.166798,0.034556914,0.66249657,0.30294648,0.3527882082636768,no,0.7604658,10.946589,26.635815,13.506226,0.05687482,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0101,CA0101,SRC007,SFC_5EB9C176CFB3,LIQ_0F4168490E,zero_shot,validation,98.7,81.16621,17.89513397216797,144.4372787475586,0.9,medium,no,82.57194,80.28796,82.92647,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.8005327,9.456762,36.22125,3.3458943,0.03926451,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0102,CA0102,SRC007,SFC_5EB9C176CFB3,LIQ_6656B41AB7,zero_shot,validation,45.7,45.10196,0.0,108.37303161621094,0.9,medium,no,46.441822,44.094353,47.15262,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.8224679,10.378194,36.22125,3.3458943,0.02894873,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0103,CA0103,SRC007,SFC_4A9A552599CA,LIQ_0F4168490E,zero_shot,validation,85.6,81.16621,17.89513397216797,144.4372787475586,0.9,medium,no,82.57194,80.28796,82.92647,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.8005327,9.456762,36.22125,3.3458943,0.03926451,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0104,CA0104,SRC007,SFC_4A9A552599CA,LIQ_6656B41AB7,zero_shot,validation,27.8,45.10196,0.0,108.37303161621094,0.9,medium,no,46.441822,44.094353,47.15262,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.8224679,10.378194,36.22125,3.3458943,0.02894873,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0105,CA0105,SRC007,SFC_FE6387F77D1C,LIQ_0F4168490E,zero_shot,validation,69.3,81.16621,17.89513397216797,144.4372787475586,0.9,medium,no,82.57194,80.28796,82.92647,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.8005327,9.456762,36.22125,3.3458943,0.03926451,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0106,CA0106,SRC007,SFC_FE6387F77D1C,LIQ_6656B41AB7,zero_shot,validation,31.6,45.10196,0.0,108.37303161621094,0.9,medium,no,46.441822,44.094353,47.15262,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.8224679,10.378194,36.22125,3.3458943,0.02894873,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0107,CA0107,SRC008,SFC_5B98CD5D3171,LIQ_0F4168490E,zero_shot,train,48.4,53.003334,0.0,116.27440643310548,0.9,medium,no,56.7165,52.335716,54.039757,0.034556914,0.66249657,0.30294648,0.3134077984085838,no,2.2329948,8.955817,39.98626,3.7288144,0.061207045,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0123,CA0123,SRC011,SFC_B7019C8ED9E7,LIQ_5C0DC0DCD1,zero_shot,train,58.0,61.56575,0.0,124.83682250976562,0.9,medium,no,63.25638,61.052685,62.494915,0.034556914,0.66249657,0.30294648,0.4099373958605307,no,1.3360308,9.896627,36.22125,3.3458943,0.033807598,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0125,CA0125,SRC011,SFC_C87A66F3CAD4,LIQ_53310FAFB3,zero_shot,train,60.0,59.120354,0.0,122.39142608642578,0.9,medium,no,57.99761,62.37671,52.12728,0.034556914,0.66249657,0.30294648,0.3527882082636768,no,1.4805602,9.118326,35.06188,1.2634962,-0.06651046,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0126,CA0126,SRC011,SFC_D5E6A21B8B20,LIQ_5C0DC0DCD1,zero_shot,train,66.8,63.9226,0.6515274047851562,127.19367218017578,0.9,medium,no,66.82359,64.29079,62.786537,0.034556914,0.66249657,0.30294648,0.4798733459325557,no,0.65680563,9.590138,33.88813,2.9289474,0.04038635,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0143,CA0143,SRC019,SFC_158AAEDEF9ED,LIQ_0F4168490E,zero_shot,train,76.3,81.16621,17.89513397216797,144.4372787475586,0.9,medium,no,82.57194,80.28796,82.92647,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.8005327,9.456762,36.22125,3.3458943,0.03926451,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0144,CA0144,SRC019,SFC_158AAEDEF9ED,LIQ_6656B41AB7,zero_shot,train,41.7,45.10196,0.0,108.37303161621094,0.9,medium,no,46.441822,44.094353,47.15262,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.8224679,10.378194,36.22125,3.3458943,0.02894873,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0145,CA0145,SRC019,SFC_158AAEDEF9ED,LIQ_53310FAFB3,zero_shot,train,58.2,55.44761,0.0,118.71868133544922,0.9,medium,no,47.05476,54.26706,58.986664,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.1413586,9.022699,36.22125,3.3458943,-0.09727658,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0146,CA0146,SRC019,SFC_2B64446C7017,LIQ_0F4168490E,zero_shot,train,82.7,77.094376,13.82330322265625,140.36544799804688,0.9,medium,no,81.82436,78.42924,73.6357,0.034556914,0.66249657,0.30294648,0.0,no,1.3663296,9.405865,41.040573,2.6884105,0.058267377,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0147,CA0147,SRC019,SFC_2B64446C7017,LIQ_6656B41AB7,zero_shot,train,37.7,33.766106,0.0,97.03717803955078,0.9,medium,no,37.019226,32.102737,37.032555,0.034556914,0.66249657,0.30294648,0.0,no,2.4508219,10.660611,41.040573,2.6884105,0.048079796,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0148,CA0148,SRC019,SFC_2B64446C7017,LIQ_53310FAFB3,zero_shot,train,53.3,47.55052,0.0,110.82159423828124,0.9,medium,no,42.76435,47.07453,49.13739,0.034556914,0.66249657,0.30294648,0.0,no,1.4817147,9.197112,41.040573,2.6884105,-0.05343932,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0149,CA0149,SRC019,SFC_DE2A842947A3,LIQ_0F4168490E,zero_shot,train,72.3,77.094376,13.82330322265625,140.36544799804688,0.9,medium,no,81.82436,78.42924,73.6357,0.034556914,0.66249657,0.30294648,0.0,no,1.3663296,9.405865,41.040573,2.6884105,0.058267377,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0150,CA0150,SRC019,SFC_DE2A842947A3,LIQ_6656B41AB7,zero_shot,train,30.9,33.766106,0.0,97.03717803955078,0.9,medium,no,37.019226,32.102737,37.032555,0.034556914,0.66249657,0.30294648,0.0,no,2.4508219,10.660611,41.040573,2.6884105,0.048079796,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0151,CA0151,SRC019,SFC_DE2A842947A3,LIQ_53310FAFB3,zero_shot,train,46.7,47.55052,0.0,110.82159423828124,0.9,medium,no,42.76435,47.07453,49.13739,0.034556914,0.66249657,0.30294648,0.0,no,1.4817147,9.197112,41.040573,2.6884105,-0.05343932,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0152,CA0152,SRC019,SFC_F38D9A54A3DA,LIQ_0F4168490E,zero_shot,train,78.1,77.094376,13.82330322265625,140.36544799804688,0.9,medium,no,81.82436,78.42924,73.6357,0.034556914,0.66249657,0.30294648,0.0,no,1.3663296,9.405865,41.040573,2.6884105,0.058267377,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0153,CA0153,SRC019,SFC_F38D9A54A3DA,LIQ_6656B41AB7,zero_shot,train,37.7,33.766106,0.0,97.03717803955078,0.9,medium,no,37.019226,32.102737,37.032555,0.034556914,0.66249657,0.30294648,0.0,no,2.4508219,10.660611,41.040573,2.6884105,0.048079796,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0154,CA0154,SRC019,SFC_F38D9A54A3DA,LIQ_53310FAFB3,zero_shot,train,44.2,47.55052,0.0,110.82159423828124,0.9,medium,no,42.76435,47.07453,49.13739,0.034556914,0.66249657,0.30294648,0.0,no,1.4817147,9.197112,41.040573,2.6884105,-0.05343932,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0155,CA0155,SRC019,SFC_728CE2CDF422,LIQ_0F4168490E,zero_shot,train,86.2,77.094376,13.82330322265625,140.36544799804688,0.9,medium,no,81.82436,78.42924,73.6357,0.034556914,0.66249657,0.30294648,0.0,no,1.3663296,9.405865,41.040573,2.6884105,0.058267377,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0156,CA0156,SRC019,SFC_728CE2CDF422,LIQ_6656B41AB7,zero_shot,train,33.6,33.766106,0.0,97.03717803955078,0.9,medium,no,37.019226,32.102737,37.032555,0.034556914,0.66249657,0.30294648,0.0,no,2.4508219,10.660611,41.040573,2.6884105,0.048079796,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0157,CA0157,SRC019,SFC_728CE2CDF422,LIQ_53310FAFB3,zero_shot,train,49.4,47.55052,0.0,110.82159423828124,0.9,medium,no,42.76435,47.07453,49.13739,0.034556914,0.66249657,0.30294648,0.0,no,1.4817147,9.197112,41.040573,2.6884105,-0.05343932,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0158,CA0158,SRC019,SFC_18B35400A3DF,LIQ_0F4168490E,zero_shot,train,77.6,76.0454,12.774330139160156,139.31647491455078,0.9,medium,no,80.815895,76.54684,74.404686,0.034556914,0.66249657,0.30294648,0.0,no,1.684157,9.021001,38.733467,3.401036,0.07284123,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0159,CA0159,SRC019,SFC_18B35400A3DF,LIQ_6656B41AB7,zero_shot,train,40.5,36.564182,0.0,99.83525466918944,0.9,medium,no,41.672684,35.529198,38.24482,0.034556914,0.66249657,0.30294648,0.0,no,2.1310518,10.115995,38.733467,3.401036,0.06652146,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0160,CA0160,SRC019,SFC_18B35400A3DF,LIQ_53310FAFB3,zero_shot,train,54.1,48.217033,0.0,111.48810577392578,0.9,medium,no,43.025978,47.65728,50.033264,0.034556914,0.66249657,0.30294648,0.0,no,1.3920871,8.745828,38.733467,3.401036,-0.057650715,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0161,CA0161,SRC019,SFC_A2A13A70D232,LIQ_0F4168490E,zero_shot,train,79.7,76.0454,12.774330139160156,139.31647491455078,0.9,medium,no,80.815895,76.54684,74.404686,0.034556914,0.66249657,0.30294648,0.0,no,1.684157,9.021001,38.733467,3.401036,0.07284123,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0162,CA0162,SRC019,SFC_A2A13A70D232,LIQ_6656B41AB7,zero_shot,train,48.0,36.564182,0.0,99.83525466918944,0.9,medium,no,41.672684,35.529198,38.24482,0.034556914,0.66249657,0.30294648,0.0,no,2.1310518,10.115995,38.733467,3.401036,0.06652146,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0163,CA0163,SRC019,SFC_A2A13A70D232,LIQ_53310FAFB3,zero_shot,train,58.7,48.217033,0.0,111.48810577392578,0.9,medium,no,43.025978,47.65728,50.033264,0.034556914,0.66249657,0.30294648,0.0,no,1.3920871,8.745828,38.733467,3.401036,-0.057650715,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0164,CA0164,SRC019,SFC_1A0DE38C2B6C,LIQ_0F4168490E,zero_shot,train,66.7,76.0454,12.774330139160156,139.31647491455078,0.9,medium,no,80.815895,76.54684,74.404686,0.034556914,0.66249657,0.30294648,0.0,no,1.684157,9.021001,38.733467,3.401036,0.07284123,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0165,CA0165,SRC019,SFC_1A0DE38C2B6C,LIQ_6656B41AB7,zero_shot,train,33.0,36.564182,0.0,99.83525466918944,0.9,medium,no,41.672684,35.529198,38.24482,0.034556914,0.66249657,0.30294648,0.0,no,2.1310518,10.115995,38.733467,3.401036,0.06652146,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0166,CA0166,SRC019,SFC_1A0DE38C2B6C,LIQ_53310FAFB3,zero_shot,train,46.0,48.217033,0.0,111.48810577392578,0.9,medium,no,43.025978,47.65728,50.033264,0.034556914,0.66249657,0.30294648,0.0,no,1.3920871,8.745828,38.733467,3.401036,-0.057650715,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0167,CA0167,SRC019,SFC_B939DB90B487,LIQ_0F4168490E,zero_shot,train,85.3,76.0454,12.774330139160156,139.31647491455078,0.9,medium,no,80.815895,76.54684,74.404686,0.034556914,0.66249657,0.30294648,0.0,no,1.684157,9.021001,38.733467,3.401036,0.07284123,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0168,CA0168,SRC019,SFC_B939DB90B487,LIQ_6656B41AB7,zero_shot,train,42.7,36.564182,0.0,99.83525466918944,0.9,medium,no,41.672684,35.529198,38.24482,0.034556914,0.66249657,0.30294648,0.0,no,2.1310518,10.115995,38.733467,3.401036,0.06652146,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0169,CA0169,SRC019,SFC_B939DB90B487,LIQ_53310FAFB3,zero_shot,train,54.6,48.217033,0.0,111.48810577392578,0.9,medium,no,43.025978,47.65728,50.033264,0.034556914,0.66249657,0.30294648,0.0,no,1.3920871,8.745828,38.733467,3.401036,-0.057650715,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0170,CA0170,SRC019,SFC_20F9A903B6D3,LIQ_0F4168490E,zero_shot,train,70.8,76.0454,12.774330139160156,139.31647491455078,0.9,medium,no,80.815895,76.54684,74.404686,0.034556914,0.66249657,0.30294648,0.0,no,1.684157,9.021001,38.733467,3.401036,0.07284123,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0171,CA0171,SRC019,SFC_20F9A903B6D3,LIQ_6656B41AB7,zero_shot,train,31.6,36.564182,0.0,99.83525466918944,0.9,medium,no,41.672684,35.529198,38.24482,0.034556914,0.66249657,0.30294648,0.0,no,2.1310518,10.115995,38.733467,3.401036,0.06652146,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0172,CA0172,SRC019,SFC_20F9A903B6D3,LIQ_53310FAFB3,zero_shot,train,43.6,48.217033,0.0,111.48810577392578,0.9,medium,no,43.025978,47.65728,50.033264,0.034556914,0.66249657,0.30294648,0.0,no,1.3920871,8.745828,38.733467,3.401036,-0.057650715,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0173,CA0173,SRC019,SFC_B194AD3300AA,LIQ_0F4168490E,zero_shot,train,70.0,81.16621,17.89513397216797,144.4372787475586,0.9,medium,no,82.57194,80.28796,82.92647,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.8005327,9.456762,36.22125,3.3458943,0.03926451,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
ZS_CA0174,CA0174,SRC019,SFC_B194AD3300AA,LIQ_6656B41AB7,zero_shot,train,44.5,45.10196,0.0,108.37303161621094,0.9,medium,no,46.441822,44.094353,47.15262,0.034556914,0.66249657,0.30294648,0.24945893011659,no,1.8224679,10.378194,36.22125,3.3458943,0.02894873,lspgmoe-v4.0,frozen_v4_0_auxiliary_reference
