measurement_id,surface_group_id,source_group_id,liquid_id,contact_angle_deg,contact_angle_type,measurement_method,temperature_K,humidity_percent,pressure_atm,droplet_volume_uL,replicates_n,contact_angle_std_deg,contact_angle_min_deg,contact_angle_max_deg,quality_grade,conflict_flag,solid_total_surface_energy_mJ_m2,solid_dispersion_mJ_m2,solid_polar_mJ_m2,solid_surface_energy_source,solid_surface_energy_source_type,data_extraction_note,record_id,sfe_source_type,new_external_source_flag,target_eligible
CA0001,SFC_04353B2CE787,SRC023,LIQ_0F4168490E,70.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,42.0,21.0,21.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0001,assumed_or_estimated,no,diagnostic_only
CA0002,SFC_96578C5761C3,SRC023,LIQ_0F4168490E,75.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,45.0,22.5,22.5,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0002,assumed_or_estimated,no,diagnostic_only
CA0003,SFC_A713C80D8A86,SRC023,LIQ_0F4168490E,76.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,44.0,32.0,12.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0003,assumed_or_estimated,no,diagnostic_only
CA0004,SFC_833BD19E975A,SRC023,LIQ_0F4168490E,78.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,42.0,32.0,10.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0004,assumed_or_estimated,no,diagnostic_only
CA0005,SFC_EF3937BBEA40,SRC023,LIQ_0F4168490E,65.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,46.0,34.0,12.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0005,assumed_or_estimated,no,diagnostic_only
CA0006,SFC_B1C3F4195927,SRC023,LIQ_0F4168490E,64.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,47.0,35.0,12.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0006,assumed_or_estimated,no,diagnostic_only
CA0007,SFC_3269642DA2B0,SRC023,LIQ_0F4168490E,72.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,48.0,30.0,18.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0007,assumed_or_estimated,no,diagnostic_only
CA0008,SFC_258CBA406DD6,SRC023,LIQ_0F4168490E,74.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,43.0,30.0,13.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0008,assumed_or_estimated,no,diagnostic_only
CA0009,SFC_DB683EF7A2C1,SRC023,LIQ_0F4168490E,80.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,40.0,30.0,10.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0009,assumed_or_estimated,no,diagnostic_only
CA0010,SFC_EEA5FB824E7A,SRC023,LIQ_0F4168490E,75.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,44.0,31.0,13.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0010,assumed_or_estimated,no,diagnostic_only
CA0011,SFC_E24B19E460DE,SRC023,LIQ_0F4168490E,82.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,42.0,36.0,6.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0011,assumed_or_estimated,no,diagnostic_only
CA0012,SFC_782084083F60,SRC023,LIQ_0F4168490E,73.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,44.0,28.0,16.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0012,assumed_or_estimated,no,diagnostic_only
