measurement_id,record_id,source_group_id,surface_group_id,legacy_analysis_split,v4_split,applsci_split,allow_training,allow_tuning,allow_evaluation,freeze_status
CA0001,CA0001,SRC023,SFC_04353B2CE787,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0002,CA0002,SRC023,SFC_96578C5761C3,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0003,CA0003,SRC023,SFC_A713C80D8A86,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0004,CA0004,SRC023,SFC_833BD19E975A,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0005,CA0005,SRC023,SFC_EF3937BBEA40,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0006,CA0006,SRC023,SFC_B1C3F4195927,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0007,CA0007,SRC023,SFC_3269642DA2B0,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0008,CA0008,SRC023,SFC_258CBA406DD6,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0009,CA0009,SRC023,SFC_DB683EF7A2C1,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0010,CA0010,SRC023,SFC_EEA5FB824E7A,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0011,CA0011,SRC023,SFC_E24B19E460DE,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0012,CA0012,SRC023,SFC_782084083F60,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0013,CA0013,SRC023,SFC_F08E28324066,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0014,CA0014,SRC023,SFC_0C4EEBCACC30,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0015,CA0015,SRC023,SFC_F715B35B2C9F,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0016,CA0016,SRC023,SFC_04353B2CE787,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0017,CA0017,SRC023,SFC_96578C5761C3,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0018,CA0018,SRC023,SFC_A713C80D8A86,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0019,CA0019,SRC023,SFC_833BD19E975A,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0020,CA0020,SRC023,SFC_EF3937BBEA40,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0021,CA0021,SRC023,SFC_B1C3F4195927,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0022,CA0022,SRC023,SFC_3269642DA2B0,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0023,CA0023,SRC023,SFC_258CBA406DD6,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0024,CA0024,SRC023,SFC_DB683EF7A2C1,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0025,CA0025,SRC023,SFC_EEA5FB824E7A,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0026,CA0026,SRC023,SFC_E24B19E460DE,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0027,CA0027,SRC023,SFC_782084083F60,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0028,CA0028,SRC023,SFC_F08E28324066,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0029,CA0029,SRC023,SFC_0C4EEBCACC30,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0030,CA0030,SRC023,SFC_F715B35B2C9F,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0031,CA0031,SRC023,SFC_04353B2CE787,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0032,CA0032,SRC023,SFC_96578C5761C3,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0033,CA0033,SRC023,SFC_A713C80D8A86,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0034,CA0034,SRC023,SFC_833BD19E975A,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0035,CA0035,SRC023,SFC_EF3937BBEA40,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0036,CA0036,SRC023,SFC_B1C3F4195927,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0037,CA0037,SRC023,SFC_3269642DA2B0,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0038,CA0038,SRC023,SFC_258CBA406DD6,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0039,CA0039,SRC023,SFC_DB683EF7A2C1,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0040,CA0040,SRC023,SFC_EEA5FB824E7A,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0041,CA0041,SRC023,SFC_E24B19E460DE,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0042,CA0042,SRC023,SFC_782084083F60,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0043,CA0043,SRC023,SFC_8236ECA9EB74,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0044,CA0044,SRC023,SFC_49842D0D9B8F,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0045,CA0045,SRC023,SFC_E805A27F910D,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0046,CA0046,SRC023,SFC_8236ECA9EB74,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0047,CA0047,SRC023,SFC_49842D0D9B8F,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0048,CA0048,SRC023,SFC_E805A27F910D,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0049,CA0049,SRC023,SFC_8236ECA9EB74,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0050,CA0050,SRC023,SFC_49842D0D9B8F,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0051,CA0051,SRC023,SFC_E805A27F910D,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0052,CA0052,SRC023,SFC_2F8ECAFB7400,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0053,CA0053,SRC023,SFC_09D2365FF128,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0054,CA0054,SRC023,SFC_C657B6B2A8F2,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0055,CA0055,SRC023,SFC_EADE66E24084,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0056,CA0056,SRC023,SFC_7320418E2637,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0057,CA0057,SRC023,SFC_059D01259A34,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0058,CA0058,SRC023,SFC_2F8ECAFB7400,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0059,CA0059,SRC023,SFC_09D2365FF128,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0060,CA0060,SRC023,SFC_C657B6B2A8F2,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0061,CA0061,SRC023,SFC_EADE66E24084,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0062,CA0062,SRC023,SFC_7320418E2637,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0063,CA0063,SRC023,SFC_059D01259A34,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0064,CA0064,SRC023,SFC_2F8ECAFB7400,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0065,CA0065,SRC023,SFC_09D2365FF128,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0066,CA0066,SRC023,SFC_C657B6B2A8F2,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0067,CA0067,SRC023,SFC_EADE66E24084,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0068,CA0068,SRC023,SFC_7320418E2637,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0069,CA0069,SRC023,SFC_059D01259A34,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0070,CA0070,SRC024,SFC_B8D818A15C77,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0071,CA0071,SRC024,SFC_DFFFBB02B458,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0072,CA0072,SRC024,SFC_CC13B5674B11,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0073,CA0073,SRC024,SFC_2F5D209BCFE9,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0074,CA0074,SRC024,SFC_B8D818A15C77,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
CA0075,CA0075,SRC024,SFC_DFFFBB02B458,excluded_review,excluded_review,excluded_review,no,no,no,provisional_v4_bootstrap
