surface_group_id,source_group_id,solid_name,solid_family,solid_substrate,surface_treatment,surface_treatment_detail,coating_or_layer,surface_state,roughness_Ra_nm,roughness_Rq_nm,roughness_r_factor,sample_preparation_notes
SFC_02B9E44B3DAE,SDX010,smooth PIndole-6-F4 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-6-F4 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,7.8,10.1,,smooth PIndole-6-F4 film; smooth-film Table 4 roughness/contact angles
SFC_04353B2CE787,SRC023,PMMA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_059D01259A34,SRC023,BR,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_09D2365FF128,SRC023,PE,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_0C4EEBCACC30,SRC023,PVDF,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_10C3C0102684,SRC010,PTFE,polymer,,plasma,"SDBD air plasma, 15 s",,smooth,,,,air SDBD plasma study; values grouped by polymer and treatment time
SFC_12E012885148,SDX006,CSDA/LA chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/LA chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/LA chitosan/dialdehyde film; Table 3
SFC_159FF1E1E160,SDX001,PMMA,polymer,PMMA,untreated,"PMMA; PMMA laser/GO/CBD surface, Table 3",,smooth,150.0,190.0,,"PMMA; PMMA laser/GO/CBD surface, Table 3"
SFC_15EC92D72DA3,SDX006,CSDA/GE chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/GE chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/GE chitosan/dialdehyde film; Table 3
SFC_1B0EE35A8601,SRC005,Flat polystyrene,polymer,polystyrene,untreated,flat polystyrene reference surface,,smooth,,,,flat polystyrene reference surface
SFC_1CE43E1DBA17,SRC009,PEEK,polymer,,mechanical_polishing,IPA cleaning + sand blasting,,rough,,,,IPA cleaning + sand blasting
SFC_1D8B05F80DC7,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-3 swollen sample,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_231FB62337B5,SRC005,Fluorosilane-treated flat polystyrene,polymer,polystyrene,coating,flat polystyrene following fluorosilane treatment,fluorosilane,smooth,,,,flat polystyrene following fluorosilane treatment
SFC_258CBA406DD6,SRC023,PBT,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_292FB4EA5D24,SRC022,Ionene C11Br,polymer,,untreated,Ionene C11Br synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_2A727AF34E6D,SRC013,RSC coated paper S1,coating,coated inkjet paper,coating,RSC coated paper S1 coated inkjet paper substrate,,smooth,,105.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_2E5EA5C6D130,SRC022,Ionene C5PF6,polymer,,untreated,Ionene C5PF6 synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_2F5D209BCFE9,SRC024,PP,polymer,,unknown,existing project low_polarity; condition not specified,,smooth,,,,
SFC_2F8ECAFB7400,SRC023,PS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_3014F50685DA,SRC015,Un-doped DLC-coated PMMA,polymer,PMMA microfluidic device,coating,un-doped diamond-like carbon coating on PMMA,,smooth,,,,un-doped diamond-like carbon coating on PMMA
SFC_3269642DA2B0,SRC023,Epoxy,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
