record_status,source_group_id,source_title,original_table_location,surface_label,material,treatment,state,liquid,contact_angle_deg,contact_angle_type,std_deg,range_deg,reported_uncertainty_deg,uncertainty_type,replicate_n,measurement_method,droplet_volume,license,DOI,keep_reason,extraction_note
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'As-prepared diamond powder', liquid column '1-bromonaphthalene'",As-prepared diamond powder,diamond powder (average particle size 1 um),untreated/as prepared,powder manually packed into a glass tube; particles shaken during treatment,1-bromonaphthalene,35,capillary_rise_washburn_derived,,,3,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'As-prepared diamond powder', liquid column 'ethylene glycol'",As-prepared diamond powder,diamond powder (average particle size 1 um),untreated/as prepared,powder manually packed into a glass tube; particles shaken during treatment,ethylene glycol,54,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'As-prepared diamond powder', liquid column 'diiodomethane'",As-prepared diamond powder,diamond powder (average particle size 1 um),untreated/as prepared,powder manually packed into a glass tube; particles shaken during treatment,diiodomethane,76,capillary_rise_washburn_derived,,,1,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'As-prepared diamond powder', liquid column 'formamide'",As-prepared diamond powder,diamond powder (average particle size 1 um),untreated/as prepared,powder manually packed into a glass tube; particles shaken during treatment,formamide,62,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'As-prepared diamond powder', liquid column 'water'",As-prepared diamond powder,diamond powder (average particle size 1 um),untreated/as prepared,powder manually packed into a glass tube; particles shaken during treatment,water,75,capillary_rise_washburn_derived,,,1,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'UV-illuminated diamond powder', liquid column '1-bromonaphthalene'",UV-illuminated diamond powder,diamond powder (average particle size 1 um),Hg-Xe UV illumination for approximately 5 min,powder manually packed into a glass tube; particles shaken during treatment,1-bromonaphthalene,38,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'UV-illuminated diamond powder', liquid column 'ethylene glycol'",UV-illuminated diamond powder,diamond powder (average particle size 1 um),Hg-Xe UV illumination for approximately 5 min,powder manually packed into a glass tube; particles shaken during treatment,ethylene glycol,54,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'UV-illuminated diamond powder', liquid column 'diiodomethane'",UV-illuminated diamond powder,diamond powder (average particle size 1 um),Hg-Xe UV illumination for approximately 5 min,powder manually packed into a glass tube; particles shaken during treatment,diiodomethane,69,capillary_rise_washburn_derived,,,3,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'UV-illuminated diamond powder', liquid column 'formamide'",UV-illuminated diamond powder,diamond powder (average particle size 1 um),Hg-Xe UV illumination for approximately 5 min,powder manually packed into a glass tube; particles shaken during treatment,formamide,52,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'UV-illuminated diamond powder', liquid column 'water'",UV-illuminated diamond powder,diamond powder (average particle size 1 um),Hg-Xe UV illumination for approximately 5 min,powder manually packed into a glass tube; particles shaken during treatment,water,70,capillary_rise_washburn_derived,,,1,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'E-beam-irradiated diamond powder', liquid column '1-bromonaphthalene'",E-beam-irradiated diamond powder,diamond powder (average particle size 1 um),"300 eV electron irradiation, 360 uC/cm2, 1e-7 Torr, room temperature",powder manually packed into a glass tube; particles shaken during treatment,1-bromonaphthalene,35,capillary_rise_washburn_derived,,,2,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
keep,SRC001,Wettability Modification of Nanomaterials by Low-Energy Electron Flux,"Table 2, row 'E-beam-irradiated diamond powder', liquid column 'ethylene glycol'",E-beam-irradiated diamond powder,diamond powder (average particle size 1 um),"300 eV electron irradiation, 360 uC/cm2, 1e-7 Torr, room temperature",powder manually packed into a glass tube; particles shaken during treatment,ethylene glycol,70,capillary_rise_washburn_derived,,,1,reported_plus_minus_type_not_defined,,Packed-bed capillary-rise method; liquid-rise height versus time converted with the Washburn equation; n-hexane used to determine effective capillary radius.,not applicable (capillary-rise measurement),Copyright 2009 to the authors; PMC OA API license=none; no machine-readable Creative Commons license in the retrieved article XML.,10.1007/s11671-009-9380-0,keep_primary_table_value,Re-extracted directly from the article XML. Do not map the treatment to the legacy 100 h/200 h labels; those durations are not reported here.
