outer_fold,config_key,max_delta_cos,source_balance,residual_penalty,expert_set,n_experts,inner_oof_mae_deg,inner_oof_source_median_mae_deg,weights_json,median_best_epoch
0,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural,2,19.206681174694076,21.32975635119353,"{""neural"": 0.9770985604455533, ""physics"": 0.022901439554446727}",94
0,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+xgboost,3,17.265301687971732,18.81675076423439,"{""neural"": 4.53223613153253e-16, ""physics"": 0.38073043657476774, ""xgboost"": 0.6192695634252319}",94
0,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+random_forest,3,17.84545376803224,20.736813553505304,"{""neural"": 0.0075199277565966465, ""physics"": 0.17413333808957204, ""random_forest"": 0.8183467341538314}",94
0,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+xgboost+random_forest,4,17.211269696660324,18.72318242820851,"{""neural"": 3.051316760838054e-15, ""physics"": 0.28997304810116914, ""random_forest"": 0.2532442990361083, ""xgboost"": 0.4567826528627195}",94
0,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural,2,19.2359109309874,21.343812093858865,"{""neural"": 0.9660105811045835, ""physics"": 0.03398941889541653}",94
0,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+xgboost,3,17.26530168999977,18.816750724634765,"{""neural"": 7.367153762039003e-17, ""physics"": 0.3807304546302053, ""xgboost"": 0.6192695453697946}",94
0,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+random_forest,3,17.845416114014643,20.73625471082035,"{""neural"": 0.008394837439059739, ""physics"": 0.17352893608788067, ""random_forest"": 0.8180762264730596}",94
0,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+xgboost+random_forest,4,17.211269694344054,18.723182433559753,"{""neural"": 0.0, ""physics"": 0.2899730343197257, ""random_forest"": 0.2532443033834052, ""xgboost"": 0.45678266229686904}",94
0,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural,2,18.94692667830752,20.902205623340908,"{""neural"": 0.8991677746900135, ""physics"": 0.10083222530998644}",95
0,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+xgboost,3,17.26530168816334,18.81675076049299,"{""neural"": 0.0, ""physics"": 0.3807304382806588, ""xgboost"": 0.6192695617193413}",95
0,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+random_forest,3,17.82866411922581,20.660767481245532,"{""neural"": 0.09540006642251578, ""physics"": 0.12949357272388964, ""random_forest"": 0.7751063608535945}",95
0,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+xgboost+random_forest,4,17.211269755409468,18.723182317292807,"{""neural"": 0.0, ""physics"": 0.28997334725163315, ""random_forest"": 0.25324402693907333, ""xgboost"": 0.45678262580929346}",95
0,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural,2,19.004304777878996,20.917468473101096,"{""neural"": 0.8804009176625028, ""physics"": 0.11959908233749723}",102
0,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+xgboost,3,17.265301689678434,18.8167507309092,"{""neural"": 9.375553583273674e-17, ""physics"": 0.38073045176937975, ""xgboost"": 0.6192695482306202}",102
0,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+random_forest,3,17.839201857581205,20.694194037137933,"{""neural"": 0.05727912870874613, ""physics"": 0.15001758964311, ""random_forest"": 0.792703281648144}",102
