v4_split,liquid_name,n,sources,surfaces
internal_test,"1,2-dichloroethane",1,1,1
internal_test,diiodomethane,14,4,14
internal_test,ethylene glycol,12,3,12
internal_test,glycerol,5,1,5
internal_test,hexadecane,3,2,3
internal_test,n-decane,1,1,1
internal_test,n-dodecane,1,1,1
internal_test,toluene,1,1,1
internal_test,water,12,3,12
legacy_external,diiodomethane,10,2,10
legacy_external,ethylene glycol,3,1,3
legacy_external,hexadecane,7,1,7
legacy_external,water,3,1,3
prospective_open_external,diiodomethane,64,6,64
prospective_open_external,ethylene glycol,1,1,1
prospective_open_external,formamide,58,5,58
prospective_open_external,glycerol,7,2,7
prospective_open_external,water,64,6,64
train,1-bromonaphthalene,6,1,6
train,diiodomethane,60,6,60
train,ethylene glycol,53,5,53
train,formamide,23,3,23
train,water,62,6,62
validation,diiodomethane,5,1,5
validation,ethylene glycol,1,1,1
validation,formamide,5,1,5
validation,glycerol,1,1,1
validation,hexadecane,1,1,1
validation,water,6,2,6
