evaluation,model_a,model_b,cluster,n_clusters,n_resamples,mae_difference_a_minus_b_deg,ci95_lower_deg,ci95_upper_deg,probability_a_better
internal_test,physics_residual_xgboost,nnls_physics,surface_group_id,14,10000,0.670819844497089,-13.379584463644365,15.124575782488709,0.4991
internal_test,physics_residual_xgboost,nnls_physics,source_group_id,4,10000,0.670819844497089,-17.223612330489416,33.99556907464941,0.3932
internal_test,physics_residual_xgboost,direct_xgboost,surface_group_id,14,10000,-4.547982061564923,-8.198858256283723,-0.9881097006790194,0.9941
internal_test,physics_residual_xgboost,direct_xgboost,source_group_id,4,10000,-4.547982061564923,-10.262951416273914,-1.3227008086939627,1.0
internal_test,physics_residual_xgboost,physics_residual_random_forest,surface_group_id,14,10000,2.5969944649172447,-4.169928427104704,9.817106589366665,0.282
internal_test,physics_residual_xgboost,physics_residual_random_forest,source_group_id,4,10000,2.5969944649172447,-5.897908923902214,19.917688803317684,0.2598
internal_test,physics_residual_xgboost,ls_psrmoe_fusion,surface_group_id,14,10000,1.3593362189321354,-3.3016766786449607,6.035378997557978,0.3182
internal_test,physics_residual_xgboost,ls_psrmoe_fusion,source_group_id,4,10000,1.3593362189321354,-4.961335791643126,13.2855737537983,0.2677
legacy_external,physics_residual_xgboost,nnls_physics,surface_group_id,10,10000,-8.384359706475218,-14.16163743148513,-4.166039173612039,1.0
legacy_external,physics_residual_xgboost,nnls_physics,source_group_id,2,10000,-8.384359706475218,-14.063445541703967,-4.733518812399593,1.0
legacy_external,physics_residual_xgboost,direct_xgboost,surface_group_id,10,10000,-2.2667341115682014,-10.367190425275341,5.0492034190979105,0.7142
legacy_external,physics_residual_xgboost,direct_xgboost,source_group_id,2,10000,-2.2667341115682014,-6.299230467847417,4.00603799819946,0.7457
legacy_external,physics_residual_xgboost,physics_residual_random_forest,surface_group_id,10,10000,-1.7592385551085155,-4.91152117076472,1.0947844999506962,0.8693
legacy_external,physics_residual_xgboost,physics_residual_random_forest,source_group_id,2,10000,-1.7592385551085155,-1.8850954497622254,-1.563461163424968,1.0
legacy_external,physics_residual_xgboost,ls_psrmoe_fusion,surface_group_id,10,10000,-0.9628440882915825,-3.8724722141779613,1.88995972892811,0.7373
legacy_external,physics_residual_xgboost,ls_psrmoe_fusion,source_group_id,2,10000,-0.9628440882915825,-0.9771940392235532,-0.940521942397412,1.0
nested_source_cv,physics_residual_xgboost,nnls_physics,surface_group_id,68,10000,-2.7841099275596264,-5.308979549807519,-0.23797515889422138,0.9827
nested_source_cv,physics_residual_xgboost,nnls_physics,source_group_id,8,10000,-2.7841099275596264,-8.327191341922083,2.482503551288261,0.8645
nested_source_cv,physics_residual_xgboost,direct_xgboost,surface_group_id,68,10000,-2.012902903934364,-4.302284008670678,0.29358008290262144,0.958
nested_source_cv,physics_residual_xgboost,direct_xgboost,source_group_id,8,10000,-2.012902903934364,-7.548788510174725,2.119372636442325,0.7786
nested_source_cv,physics_residual_xgboost,physics_residual_random_forest,surface_group_id,68,10000,1.8508141438535244,0.5036279016241445,3.365810743686434,0.0021
nested_source_cv,physics_residual_xgboost,physics_residual_random_forest,source_group_id,8,10000,1.8508141438535244,-0.6252417118300181,4.335867775428632,0.0708
nested_source_cv,physics_residual_xgboost,ls_psrmoe_fusion,surface_group_id,68,10000,0.8784372882305629,-0.0005611919543536675,1.81382399945495,0.0253
nested_source_cv,physics_residual_xgboost,ls_psrmoe_fusion,source_group_id,8,10000,0.8784372882305629,-1.7927342659989165,2.6801950110897255,0.2412
prospective_open_external,physics_residual_xgboost,nnls_physics,surface_group_id,64,10000,-4.638678041110058,-7.473916040130383,-1.7530691900603417,0.9994
prospective_open_external,physics_residual_xgboost,nnls_physics,source_group_id,6,10000,-4.638678041110058,-10.689833217836188,-0.3309139172318183,0.9803
prospective_open_external,physics_residual_xgboost,direct_xgboost,surface_group_id,64,10000,0.001200963707313818,-1.2601440347304496,1.2067560245889402,0.5022
prospective_open_external,physics_residual_xgboost,direct_xgboost,source_group_id,6,10000,0.001200963707313818,-2.0923407936096154,2.1158122508629518,0.4647
prospective_open_external,physics_residual_xgboost,physics_residual_random_forest,surface_group_id,64,10000,1.0719031663213787,-0.12363640459314272,2.2948861243025713,0.0406
prospective_open_external,physics_residual_xgboost,physics_residual_random_forest,source_group_id,6,10000,1.0719031663213787,-1.3984079227037292,2.712331873638263,0.1313
prospective_open_external,physics_residual_xgboost,ls_psrmoe_fusion,surface_group_id,64,10000,0.42725596901767027,-0.6029730049487804,1.4530989395878857,0.2071
prospective_open_external,physics_residual_xgboost,ls_psrmoe_fusion,source_group_id,6,10000,0.42725596901767027,-1.8320093557585864,1.6200823187380653,0.2795
