n_training_sources,subset_index,model,test_sources,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
2,0,nnls_physics,6,189,17.104813822993524,25.15266843924642,0.38280995768583437,11.300000190734863,42.30396041870119
2,0,physics_residual_xgboost,6,189,26.250063327727496,34.033960036502585,-0.12999298576803686,20.41314697265625,55.1035036722819
2,1,nnls_physics,6,148,20.85367791717117,29.16345495001144,0.36764732799544875,14.645248413085938,44.78562583923342
2,1,physics_residual_xgboost,6,148,14.9130801585763,25.268958380106685,0.5252597081925634,9.408989350001018,32.64747937520346
2,2,nnls_physics,6,166,16.36848506008286,25.478749935498787,0.472850060555311,9.727226257324219,35.81436252593994
2,2,physics_residual_xgboost,6,166,17.14024847210292,26.506437540890058,0.4294671524011997,11.215818405151367,40.54867808024088
2,3,nnls_physics,6,133,19.75148105621338,29.367219719212255,0.4056686459862968,12.800000190734863,47.44818725585937
2,3,physics_residual_xgboost,6,133,15.593645393801735,25.98114881199588,0.5348214529390581,9.039500872294113,33.30975964864095
2,4,nnls_physics,6,178,16.7307420419843,24.658241312511098,0.4090279415316487,11.417415618896484,33.71769027709966
2,4,physics_residual_xgboost,6,178,16.886857334015133,27.838882768857264,0.24673748630932968,8.451942523320511,43.099965508778894
2,5,nnls_physics,6,163,16.54941666491924,22.85573643359662,0.27768339629008176,11.670989990234375,41.63421707153323
2,5,physics_residual_xgboost,6,163,17.731974704446298,24.10924628190319,0.19628064629121078,14.523067633310959,36.04955450693769
2,6,nnls_physics,6,192,16.794856677452724,25.120223497119635,0.42096184309545415,11.071517944335938,39.81813888549805
2,6,physics_residual_xgboost,6,192,15.902121068715738,24.410878309638267,0.4532019000834079,10.020054737726852,35.01115773518881
2,7,nnls_physics,6,207,17.308439263974986,25.23670303264904,0.3985802660769219,11.910049438476562,42.46067733764649
2,7,physics_residual_xgboost,6,207,15.330147154770202,21.94010887813661,0.5454412768208139,12.590295473734535,27.658077494303384
2,8,nnls_physics,6,159,19.71315058222357,28.38403714440473,0.3643347729679782,13.821891784667969,48.015117645263686
2,8,physics_residual_xgboost,6,159,15.210611860394726,24.272159747231278,0.5351669862426373,8.951875050862625,35.56266962687176
